year,type,count
2010,SIZE_1_INC_LOW,1331
2010,SIZE_2_INC_LOW,385
2010,SIZE_3_INC_LOW,107
2010,SIZE_4_INC_LOW,6
2010,SIZE_1_INC_MEDIUM,92264
2010,SIZE_2_INC_MEDIUM,4544
2010,SIZE_3_INC_MEDIUM,3640
2010,SIZE_4_INC_MEDIUM,1368
2010,SIZE_1_INC_HIGH,14973
2010,SIZE_2_INC_HIGH,34477
2010,SIZE_3_INC_HIGH,5868
2010,SIZE_4_INC_HIGH,7329
2010,SIZE_1_INC_VERY_HIGH,0
2010,SIZE_2_INC_VERY_HIGH,71534
2010,SIZE_3_INC_VERY_HIGH,62974
2010,SIZE_4_INC_VERY_HIGH,76225
2011,SIZE_1_INC_LOW,2942
2011,SIZE_2_INC_LOW,412
2011,SIZE_3_INC_LOW,136
2011,SIZE_4_INC_LOW,10
2011,SIZE_1_INC_MEDIUM,92263
2011,SIZE_2_INC_MEDIUM,4403
2011,SIZE_3_INC_MEDIUM,3025
2011,SIZE_4_INC_MEDIUM,1073
2011,SIZE_1_INC_HIGH,13811
2011,SIZE_2_INC_HIGH,37779
2011,SIZE_3_INC_HIGH,6308
2011,SIZE_4_INC_HIGH,6519
2011,SIZE_1_INC_VERY_HIGH,0
2011,SIZE_2_INC_VERY_HIGH,69094
2011,SIZE_3_INC_VERY_HIGH,64667
2011,SIZE_4_INC_VERY_HIGH,74999
2012,SIZE_1_INC_LOW,4270
2012,SIZE_2_INC_LOW,367
2012,SIZE_3_INC_LOW,119
2012,SIZE_4_INC_LOW,11
2012,SIZE_1_INC_MEDIUM,91780
2012,SIZE_2_INC_MEDIUM,4410
2012,SIZE_3_INC_MEDIUM,2543
2012,SIZE_4_INC_MEDIUM,895
2012,SIZE_1_INC_HIGH,13635
2012,SIZE_2_INC_HIGH,40361
2012,SIZE_3_INC_HIGH,6565
2012,SIZE_4_INC_HIGH,6230
2012,SIZE_1_INC_VERY_HIGH,1
2012,SIZE_2_INC_VERY_HIGH,67534
2012,SIZE_3_INC_VERY_HIGH,65970
2012,SIZE_4_INC_VERY_HIGH,73310
2013,SIZE_1_INC_LOW,5372
2013,SIZE_2_INC_LOW,370
2013,SIZE_3_INC_LOW,106
2013,SIZE_4_INC_LOW,14
2013,SIZE_1_INC_MEDIUM,90990
2013,SIZE_2_INC_MEDIUM,4520
2013,SIZE_3_INC_MEDIUM,2282
2013,SIZE_4_INC_MEDIUM,776
2013,SIZE_1_INC_HIGH,14359
2013,SIZE_2_INC_HIGH,41113
2013,SIZE_3_INC_HIGH,6396
2013,SIZE_4_INC_HIGH,5913
2013,SIZE_1_INC_VERY_HIGH,1
2013,SIZE_2_INC_VERY_HIGH,67454
2013,SIZE_3_INC_VERY_HIGH,66774
2013,SIZE_4_INC_VERY_HIGH,71979
2014,SIZE_1_INC_LOW,6365
2014,SIZE_2_INC_LOW,341
2014,SIZE_3_INC_LOW,119
2014,SIZE_4_INC_LOW,16
2014,SIZE_1_INC_MEDIUM,90655
2014,SIZE_2_INC_MEDIUM,4696
2014,SIZE_3_INC_MEDIUM,2119
2014,SIZE_4_INC_MEDIUM,766
2014,SIZE_1_INC_HIGH,15192
2014,SIZE_2_INC_HIGH,41645
2014,SIZE_3_INC_HIGH,6200
2014,SIZE_4_INC_HIGH,5541
2014,SIZE_1_INC_VERY_HIGH,1
2014,SIZE_2_INC_VERY_HIGH,67754
2014,SIZE_3_INC_VERY_HIGH,67212
2014,SIZE_4_INC_VERY_HIGH,70510
2015,SIZE_1_INC_LOW,7218
2015,SIZE_2_INC_LOW,268
2015,SIZE_3_INC_LOW,126
2015,SIZE_4_INC_LOW,18
2015,SIZE_1_INC_MEDIUM,90738
2015,SIZE_2_INC_MEDIUM,4916
2015,SIZE_3_INC_MEDIUM,1936
2015,SIZE_4_INC_MEDIUM,668
2015,SIZE_1_INC_HIGH,16085
2015,SIZE_2_INC_HIGH,42105
2015,SIZE_3_INC_HIGH,6047
2015,SIZE_4_INC_HIGH,5470
2015,SIZE_1_INC_VERY_HIGH,1
2015,SIZE_2_INC_VERY_HIGH,68012
2015,SIZE_3_INC_VERY_HIGH,67441
2015,SIZE_4_INC_VERY_HIGH,68831
2016,SIZE_1_INC_LOW,8013
2016,SIZE_2_INC_LOW,239
2016,SIZE_3_INC_LOW,123
2016,SIZE_4_INC_LOW,18
2016,SIZE_1_INC_MEDIUM,90955
2016,SIZE_2_INC_MEDIUM,5000
2016,SIZE_3_INC_MEDIUM,1912
2016,SIZE_4_INC_MEDIUM,589
2016,SIZE_1_INC_HIGH,17111
2016,SIZE_2_INC_HIGH,42690
2016,SIZE_3_INC_HIGH,5965
2016,SIZE_4_INC_HIGH,5370
2016,SIZE_1_INC_VERY_HIGH,4
2016,SIZE_2_INC_VERY_HIGH,68131
2016,SIZE_3_INC_VERY_HIGH,67509
2016,SIZE_4_INC_VERY_HIGH,66914
2017,SIZE_1_INC_LOW,8720
2017,SIZE_2_INC_LOW,239
2017,SIZE_3_INC_LOW,122
2017,SIZE_4_INC_LOW,12
2017,SIZE_1_INC_MEDIUM,91455
2017,SIZE_2_INC_MEDIUM,5343
2017,SIZE_3_INC_MEDIUM,1904
2017,SIZE_4_INC_MEDIUM,486
2017,SIZE_1_INC_HIGH,18024
2017,SIZE_2_INC_HIGH,42835
2017,SIZE_3_INC_HIGH,6094
2017,SIZE_4_INC_HIGH,5306
2017,SIZE_1_INC_VERY_HIGH,13
