year,size,count
2046,8,30
2046,9,5
2046,10,0
2047,1,138633
2047,2,106373
2047,3,46698
2047,4,26546
2047,5,8761
2047,6,2098
2047,7,291
2047,8,29
2047,9,5
2047,10,0
2048,1,138482
2048,2,105335
2048,3,45927
2048,4,26151
2048,5,8549
2048,6,1991
2048,7,291
2048,8,28
2048,9,5
2048,10,0
2049,1,138016
2049,2,104405
2049,3,45149
2049,4,25720
2049,5,8380
2049,6,1930
2049,7,266
2049,8,26
2049,9,5
2049,10,0
