year,group,male,female
2043,18-29,0.567607,0.592405
2043,30-49,0.855882,0.720209
2043,50-64,0.795814,0.600745
2043,>=65,0.315435,0.225807
2044,<18,0.098403,0.115934
2044,18-29,0.564645,0.587216
2044,30-49,0.856492,0.719809
2044,50-64,0.796887,0.605858
2044,>=65,0.312776,0.225612
2045,<18,0.097980,0.115157
2045,18-29,0.561221,0.585692
2045,30-49,0.854735,0.717510
2045,50-64,0.796733,0.609481
2045,>=65,0.310191,0.225408
2046,<18,0.097255,0.114582
2046,18-29,0.560271,0.584603
2046,30-49,0.854015,0.717161
2046,50-64,0.797616,0.613219
2046,>=65,0.308392,0.224188
2047,<18,0.097798,0.112998
2047,18-29,0.558477,0.581644
2047,30-49,0.852927,0.716549
2047,50-64,0.797947,0.614336
2047,>=65,0.305169,0.222032
2048,<18,0.096650,0.114656
2048,18-29,0.560806,0.583368
2048,30-49,0.852888,0.716674
2048,50-64,0.802795,0.614991
2048,>=65,0.305796,0.220877
2049,<18,0.097488,0.114711
2049,18-29,0.562189,0.587316
2049,30-49,0.853169,0.715627
2049,50-64,0.805499,0.616197
2049,>=65,0.303389,0.220426
