year,region,time
2010,5,17.392305
2010,8,20.689177
2010,14,20.757057
2010,11,17.565067
2010,4,13.767173
2010,13,15.278561
2010,12,14.083073
2010,2,14.7424965
2010,3,15.177305
2010,15,16.533628
2010,1,10.419769
2010,10,11.210032
2010,6,21.178316
2010,7,26.181984
2010,9,18.049477
2011,5,18.024395
2011,8,21.005272
2011,14,21.113941
2011,11,17.9935
2011,4,14.255041
2011,13,15.3526
2011,12,14.385885
2011,2,15.535901
2011,3,16.372156
2011,15,17.361416
2011,1,11.183142
2011,10,11.716051
2011,6,21.694094
2011,7,26.65829
2011,9,18.411858
2012,5,18.494604
2012,8,21.161125
2012,14,21.245176
2012,11,18.20311
2012,4,14.643479
2012,13,15.362376
2012,12,14.752993
2012,2,16.109318
2012,3,17.25264
2012,15,17.827187
2012,1,11.725007
2012,10,11.839399
2012,6,22.030855
2012,7,27.0774
2012,9,18.628672
2013,5,18.974932
2013,8,21.320402
2013,14,21.305384
2013,11,18.321077
2013,4,14.957832
2013,13,15.389573
2013,12,14.854528
2013,2,16.63868
2013,3,17.957113
2013,15,18.201435
2013,1,12.227376
2013,10,12.035633
2013,6,22.253174
2013,7,27.31704
2013,9,18.745653
2014,5,19.308067
2014,8,21.636044
2014,14,21.490229
2014,11,18.460697
2014,4,15.240319
2014,13,15.551794
2014,12,15.018975
2014,2,17.157042
2014,3,18.536268
2014,15,18.524084
2014,1,12.730024
2014,10,12.31413
2014,6,22.401487
2014,7,27.483223
2014,9,18.79752
2015,5,19.826258
2015,8,21.86256
2015,14,21.592215
2015,11,18.758821
2015,4,15.504459
2015,13,15.561364
2015,12,15.163677
2015,2,17.822855
2015,3,19.211441
2015,15,18.708256
2015,1,13.285073
2015,10,12.474061
2015,6,22.779247
2015,7,27.884426
2015,9,18.898401
2016,5,20.382132
2016,8,22.092453
2016,14,21.727726
2016,11,18.869677
2016,4,15.730864
2016,13,15.624849
2016,12,15.312438
2016,2,18.199305
2016,3,19.472038
2016,15,19.083002
2016,1,13.687297
2016,10,12.724028
2016,6,22.917913
2016,7,28.15531
2016,9,18.967806
2017,5,20.933117
2017,8,22.334112
2017,14,21.913815
2017,11,19.054474
2017,4,15.9098835
2017,13,15.743809
2017,12,15.510366
2017,2,18.64487
2017,3,20.086756
2017,15,19.248333
2017,1,14.125209
2017,10,12.811417
2017,6,23.13459
2017,7,28.492735
2017,9,19.011696
2018,5,21.466654
2018,8,22.393818
2018,14,21.897427
2018,11,19.052544
2018,4,16.094719
2018,13,15.830433
2018,12,15.516999
2018,2,18.855278
2018,3,20.198862
2018,15,19.575478
2018,1,14.473165
2018,10,12.957579
2018,6,23.194504
2018,7,28.912432
2018,9,19.027975
2019,5,21.92788
2019,8,22.477074
2019,14,21.99127
2019,11,19.01416
2019,4,16.212547
2019,13,15.980756
2019,12,15.702748
2019,2,19.046835
2019,3,20.384945
2019,15,19.781284
2019,1,14.78639
2019,10,13.029372
2019,6,23.293928
2019,7,29.248487
2019,9,18.944286
2020,5,22.325825
2020,8,22.490889
2020,14,22.068153
2020,11,19.149082
2020,4,16.315542
2020,13,15.925116
2020,12,15.88971
2020,2,19.381987
2020,3,20.791176
2020,15,19.860624
2020,1,15.172097
2020,10,13.107715
2020,6,23.448488
2020,7,29.617186
2020,9,19.008415
2021,5,22.721386
2021,8,22.601768
2021,14,22.157299
2021,11,19.11423
2021,4,16.39883
2021,13,16.024338
2021,12,15.992175
2021,2,19.499325
2021,3,20.81897
2021,15,20.070778
2021,1,15.4300995
2021,10,13.151063
2021,6,23.4552
2021,7,29.905506
2021,9,18.90443
2022,5,23.029081
2022,8,22.652164
2022,14,22.240498
2022,11,19.099247
2022,4,16.443016
2022,13,16.050303
2022,12,16.05116
2022,2,19.572317
2022,3,20.956783
2022,15,20.190891
2022,1,15.635801
2022,10,13.269468
2022,6,23.536207
2022,7,30.095705
2022,9,18.899302
2023,5,24.371832
2023,8,24.021017
2023,14,24.47962
2023,11,22.194778
2023,4,17.809103
2023,13,17.3152
2023,12,18.067915
2023,2,22.075428
2023,3,27.16944
2023,15,22.098843
2023,1,16.34538
2023,10,15.956626
2023,6,23.18162
2023,7,30.192087
2023,9,19.220564
2024,5,24.49255
2024,8,24.085024
2024,14,24.920382
2024,11,22.096582
2024,4,17.81778
2024,13,17.326387
2024,12,18.14673
2024,2,22.110441
2024,3,27.620127
2024,15,22.14881
2024,1,16.625551
2024,10,15.923079
2024,6,23.292578
2024,7,30.126726
2024,9,19.275238
2025,5,24.560272
2025,8,24.024422
2025,14,24.998997
2025,11,21.946465
2025,4,17.754137
2025,13,17.266268
2025,12,18.179443
2025,2,22.043228
2025,3,27.553629
2025,15,22.289446
2025,1,16.718115
2025,10,16.1235
2025,6,23.325941
2025,7,30.231298
2025,9,19.259426
2026,5,24.587673
2026,8,23.992508
2026,14,25.102364
2026,11,21.856411
2026,4,17.680021
2026,13,17.323774
2026,12,18.320204
