year,size,count
2010,1,108481
2010,2,110889
2010,3,72784
2010,4,55218
2010,5,24033
2010,6,4624
2010,7,907
2010,8,58
2010,9,2
2010,10,0
2011,1,108760
2011,2,111927
2011,3,74357
2011,4,54634
2011,5,22586
2011,6,4293
2011,7,822
2011,8,48
2011,9,3
2011,10,0
2012,1,109401
2012,2,112778
2012,3,75145
2012,4,54283
2012,5,21433
2012,6,3980
2012,7,739
2012,8,52
2012,9,3
2012,10,0
2013,1,110009
2013,2,113869
2013,3,75614
2013,4,53684
2013,5,20430
2013,6,3748
2013,7,663
2013,8,46
2013,9,3
2013,10,0
2014,1,111297
2014,2,114757
2014,3,75661
2014,4,53208
2014,5,19465
2014,6,3557
2014,7,605
2014,8,49
2014,9,3
2014,10,0
2015,1,112956
2015,2,115945
2015,3,75515
2015,4,52363
2015,5,18609
2015,6,3400
2015,7,544
2015,8,49
2015,9,4
2015,10,0
2016,1,115432
2016,2,116491
2016,3,75229
2016,4,51429
2016,5,17804
2016,6,3271
2016,7,504
2016,8,45
2016,9,4
2016,10,0
2017,1,118030
2017,2,117249
2017,3,74775
2017,4,50253
2017,5,17103
2017,6,3205
2017,7,466
2017,8,48
2017,9,3
2017,10,0
2018,1,120642
2018,2,117753
2018,3,74362
2018,4,48997
2018,5,16390
2018,6,3206
2018,7,443
2018,8,46
2018,9,5
2018,10,0
2019,1,123631
2019,2,118370
2019,3,73811
2019,4,47575
2019,5,15817
2019,6,3144
2019,7,471
2019,8,43
2019,9,6
2019,10,0
2020,1,126010
2020,2,119130
2020,3,73162
2020,4,46181
2020,5,15265
2020,6,3205
2020,7,463
2020,8,45
2020,9,7
2020,10,0
2021,1,127832
2021,2,119696
2021,3,72243
2021,4,44887
2021,5,14774
2021,6,3249
2021,7,463
2021,8,47
2021,9,6
2021,10,1
2022,1,129501
2022,2,120219
2022,3,71605
2022,4,43416
2022,5,14266
2022,6,3297
2022,7,466
2022,8,50
2022,9,5
2022,10,2
2023,1,131366
2023,2,120510
2023,3,70983
2023,4,41900
2023,5,14018
2023,6,3286
2023,7,490
2023,8,49
2023,9,6
2023,10,2
2024,1,132558
2024,2,120983
2024,3,70003
2024,4,40677
2024,5,13660
2024,6,3310
2024,7,503
2024,8,52
2024,9,7
2024,10,1
2025,1,133625
2025,2,121075
2025,3,69236
2025,4,39500
2025,5,13332
2025,6,3391
2025,7,517
2025,8,47
2025,9,9
2025,10,1
2026,1,134492
2026,2,121010
2026,3,68296
2026,4,38436
2026,5,13033
2026,6,3418
2026,7,545
