year,event,count
2010,LeaveParentsEvent,271
2010,LicenseEvent,32732
2010,ConstructionEvent,7
2010,MoveEvent,23534
2010,DivorceEvent,1272
2010,MarriageEvent,6923
2010,EmploymentEvent,14558
2010,BirthEvent,4869
2010,RenovationEvent,448132
2010,MigrationEvent,8802
2010,BirthDayEvent,904794
2010,DemolitionEvent,394
2010,DeathEvent,14039
2011,LeaveParentsEvent,454
2011,LicenseEvent,17791
2011,ConstructionEvent,82
2011,MoveEvent,25271
2011,DivorceEvent,1328
2011,MarriageEvent,6802
2011,EmploymentEvent,25308
2011,BirthEvent,4993
2011,RenovationEvent,447726
2011,MigrationEvent,1714
2011,BirthDayEvent,917506
2011,DemolitionEvent,465
2011,DeathEvent,14350
2012,LeaveParentsEvent,602
2012,LicenseEvent,14240
2012,ConstructionEvent,779
2012,MoveEvent,25272
2012,DivorceEvent,1364
2012,MarriageEvent,6520
2012,EmploymentEvent,23994
2012,BirthEvent,4997
2012,RenovationEvent,447354
2012,MigrationEvent,1822
2012,BirthDayEvent,912291
2012,DemolitionEvent,447
2012,DeathEvent,14279
2013,LeaveParentsEvent,734
2013,LicenseEvent,13774
2013,ConstructionEvent,1283
2013,MoveEvent,26559
2013,DivorceEvent,1328
2013,MarriageEvent,6425
2013,EmploymentEvent,24067
2013,BirthEvent,4972
2013,RenovationEvent,447682
2013,MigrationEvent,1759
2013,BirthDayEvent,907320
2013,DemolitionEvent,427
2013,DeathEvent,14482
2014,LeaveParentsEvent,1003
2014,LicenseEvent,12716
2014,ConstructionEvent,1524
2014,MoveEvent,27356
2014,DivorceEvent,1462
2014,MarriageEvent,6179
2014,EmploymentEvent,24349
2014,BirthEvent,5022
2014,RenovationEvent,448561
2014,MigrationEvent,1899
2014,BirthDayEvent,902094
2014,DemolitionEvent,428
2014,DeathEvent,14618
2015,LeaveParentsEvent,1303
2015,LicenseEvent,11831
2015,ConstructionEvent,1657
2015,MoveEvent,29951
2015,DivorceEvent,1475
2015,MarriageEvent,6223
2015,EmploymentEvent,24549
2015,BirthEvent,4726
2015,RenovationEvent,449630
2015,MigrationEvent,1939
2015,BirthDayEvent,896958
2015,DemolitionEvent,434
2015,DeathEvent,14773
2016,LeaveParentsEvent,1664
2016,LicenseEvent,10507
2016,ConstructionEvent,1215
2016,MoveEvent,28210
2016,DivorceEvent,1474
2016,MarriageEvent,5779
2016,EmploymentEvent,24414
2016,BirthEvent,4675
2016,RenovationEvent,450837
2016,MigrationEvent,1691
2016,BirthDayEvent,891479
2016,DemolitionEvent,458
2016,DeathEvent,14825
2017,LeaveParentsEvent,1868
