year,variable,value
2010,average,69194.1139481586
2010,median,63792.0
2011,average,68430.21671303287
2011,median,63500.0
2012,average,68015.81991667858
2012,median,63244.0
2013,average,67830.11227140235
2013,median,63160.0
2014,average,67638.12220484836
2014,median,63062.5
2015,average,67338.78584551314
2015,median,62843.0
2016,average,66951.49365217552
2016,median,62472.0
2017,average,66373.6735383017
2017,median,61991.0
2018,average,65753.99920386336
2018,median,61488.0
2019,average,65038.08731468809
2019,median,60916.0
2020,average,64376.0902630728
2020,median,60341.5
2021,average,63756.14773041613
2021,median,59792.0
2022,average,63128.730523186714
2022,median,59292.0
2023,average,62565.974229633306
2023,median,58787.5
2024,average,62159.1856614469
2024,median,58420.0
2025,average,61881.54681889933
2025,median,58147.0
2026,average,61714.714622057
2026,median,57956.0
2027,average,61469.908756253426
2027,median,57576.0
2028,average,61241.72134768666
2028,median,57219.0
2029,average,60994.39607166272
2029,median,56960.0
2030,average,60701.53203041342
2030,median,56602.5
2031,average,60405.189007582376
2031,median,56218.0
2032,average,60151.43560513265
2032,median,55894.0
2033,average,59897.69347622516
2033,median,55567.5
2034,average,59646.70616998945
2034,median,55208.0
2035,average,59392.38849904588
2035,median,54913.0
2036,average,59193.928031191695
2036,median,54676.0
2037,average,58946.754216216825
2037,median,54420.0
2038,average,58727.48566133548
2038,median,54173.5
2039,average,58526.11288982535
2039,median,53960.0
2040,average,58327.75931652451
2040,median,53752.0
2041,average,58128.19059568759
2041,median,53589.0
2042,average,57928.05423284669
2042,median,53332.0
2043,average,57758.08150452721
2043,median,53121.5
2044,average,57627.83870002252
2044,median,52987.5
2045,average,57496.309659803796
2045,median,52808.0
2046,average,57314.101977147875
2046,median,52572.0
2047,average,57160.761563116896
2047,median,52332.0
2048,average,56987.366744944076
2048,median,52127.5
2049,average,56851.67990053798
2049,median,51948.5
