year,type,count
2017,SIZE_4_INC_VERY_HIGH,65320
2018,SIZE_1_INC_LOW,9290
2018,SIZE_2_INC_LOW,210
2018,SIZE_3_INC_LOW,136
2018,SIZE_4_INC_LOW,18
2018,SIZE_1_INC_MEDIUM,92672
2018,SIZE_2_INC_MEDIUM,5634
2018,SIZE_3_INC_MEDIUM,1699
2018,SIZE_4_INC_MEDIUM,473
2018,SIZE_1_INC_HIGH,18660
2018,SIZE_2_INC_HIGH,43109
2018,SIZE_3_INC_HIGH,6265
2018,SIZE_4_INC_HIGH,5123
2018,SIZE_1_INC_VERY_HIGH,20
2018,SIZE_2_INC_VERY_HIGH,68800
2018,SIZE_3_INC_VERY_HIGH,66262
2018,SIZE_4_INC_VERY_HIGH,63473
2019,SIZE_1_INC_LOW,9967
2019,SIZE_2_INC_LOW,205
2019,SIZE_3_INC_LOW,103
2019,SIZE_4_INC_LOW,8
2019,SIZE_1_INC_MEDIUM,94214
2019,SIZE_2_INC_MEDIUM,6027
2019,SIZE_3_INC_MEDIUM,1728
2019,SIZE_4_INC_MEDIUM,452
2019,SIZE_1_INC_HIGH,19417
2019,SIZE_2_INC_HIGH,43310
2019,SIZE_3_INC_HIGH,6407
2019,SIZE_4_INC_HIGH,5026
2019,SIZE_1_INC_VERY_HIGH,33
2019,SIZE_2_INC_VERY_HIGH,68828
2019,SIZE_3_INC_VERY_HIGH,65573
2019,SIZE_4_INC_VERY_HIGH,61570
2020,SIZE_1_INC_LOW,10623
2020,SIZE_2_INC_LOW,238
2020,SIZE_3_INC_LOW,97
2020,SIZE_4_INC_LOW,8
2020,SIZE_1_INC_MEDIUM,95265
2020,SIZE_2_INC_MEDIUM,6382
2020,SIZE_3_INC_MEDIUM,1778
2020,SIZE_4_INC_MEDIUM,423
2020,SIZE_1_INC_HIGH,20066
2020,SIZE_2_INC_HIGH,43726
2020,SIZE_3_INC_HIGH,6423
2020,SIZE_4_INC_HIGH,4990
2020,SIZE_1_INC_VERY_HIGH,56
2020,SIZE_2_INC_VERY_HIGH,68784
2020,SIZE_3_INC_VERY_HIGH,64864
2020,SIZE_4_INC_VERY_HIGH,59745
2021,SIZE_1_INC_LOW,11098
2021,SIZE_2_INC_LOW,235
2021,SIZE_3_INC_LOW,102
2021,SIZE_4_INC_LOW,10
2021,SIZE_1_INC_MEDIUM,95958
2021,SIZE_2_INC_MEDIUM,6562
2021,SIZE_3_INC_MEDIUM,1785
2021,SIZE_4_INC_MEDIUM,409
2021,SIZE_1_INC_HIGH,20691
2021,SIZE_2_INC_HIGH,44138
2021,SIZE_3_INC_HIGH,6597
