year,type,count,price,vacancy
2010,SFD,276019,1275.0,0.17621124644815667
2010,SFA,0,NaN,0.0
2010,MF234,97194,675.3560197338281,0.17434616333580064
2010,MF5plus,74734,844.902471596182,0.17531451796195036
2010,MH,0,NaN,0.0
2011,SFD,275737,1270.1781872449599,0.16826015600375335
2011,SFA,0,NaN,0.0
2011,MF234,97126,672.6640294901246,0.14317756240097126
2011,MF5plus,74701,848.3776415836007,0.14174271415955256
2011,MH,0,NaN,0.0
2012,SFD,275463,1273.1223352142094,0.17264639856094757
2012,SFA,0,NaN,0.0
2012,MF234,97420,679.4748754429146,0.13251858410724213
2012,MF5plus,75013,855.8578829216605,0.12930215124295524
2012,MH,0,NaN,0.0
2013,SFD,275199,1287.878860184827,0.1764338586307417
2013,SFA,0,NaN,0.0
2013,MF234,97985,685.9917593872245,0.12678094847053992
2013,MF5plus,75568,862.8684126302719,0.12172556756828816
2013,MH,0,NaN,0.0
2014,SFD,274937,1303.4230879794156,0.18060022020428854
2014,SFA,0,NaN,0.0
2014,MF234,98693,692.8033362012961,0.12362096239220288
2014,MF5plus,76218,864.3650760594802,0.11741742536523396
2014,MH,0,NaN,0.0
2015,SFD,274670,1304.1522489901704,0.18451499798135573
2015,SFA,0,NaN,0.0
2015,MF234,99446,682.944676149655,0.12026182201371931
2015,MF5plus,76955,848.6816875283018,0.11346401112598074
2015,MH,0,NaN,0.0
2016,SFD,274397,1299.2851993874178,0.18631084574216333
2016,SFA,0,NaN,0.0
2016,MF234,99921,686.0027830384515,0.11943165134847053
2016,MF5plus,77510,847.0907634163583,0.11222142810733546
2016,MH,0,NaN,0.0
2017,SFD,274132,1293.3583438187045,0.18875935232528052
2017,SFA,0,NaN,0.0
2017,MF234,100546,675.5312049776377,0.11486073998458783
2017,MF5plus,78173,841.7785821498313,0.10770223197006838
2017,MH,0,NaN,0.0
2018,SFD,273856,1284.7634060421371,0.1881903608480586
2018,SFA,0,NaN,0.0
2018,MF234,101003,670.4023790768766,0.11476339188033338
2018,MF5plus,78737,826.2891792518195,0.10991007125222263
2018,MH,0,NaN,0.0
2019,SFD,273567,1286.5715935651097,0.19123188829165694
2019,SFA,0,NaN,0.0
2019,MF234,101528,673.694146524086,0.11022444877874915
2019,MF5plus,79152,829.6867071894399,0.104779201645986
2019,MH,0,NaN,0.0
2020,SFD,273292,1290.126769116859,0.19184331443485508
2020,SFA,0,NaN,0.0
2020,MF234,102281,664.3633161386117,0.1065124891655504
2020,MF5plus,79843,827.1490568670687,0.10213260561956741
2020,MH,0,NaN,0.0
2021,SFD,273063,1281.7252186883925,0.19130819782503697
2021,SFA,0,NaN,0.0
2021,MF234,102804,656.6558176123089,0.10790860472619548
2021,MF5plus,80447,816.2516484084126,0.10807459639542602
2021,MH,0,NaN,0.0
2022,SFD,272766,1276.1087435153663,0.19624409019164077
2022,SFA,0,NaN,0.0
2022,MF234,103328,661.0287467615186,0.10702890938095794
2022,MF5plus,80916,822.117159258883,0.10599525153206459
2022,MH,0,NaN,0.0
2023,SFD,272499,1270.4813681949347,0.2009341340196359
2023,SFA,0,NaN,0.0
2023,MF234,104046,663.4118194323,0.10662163208423661
2023,MF5plus,81550,828.5154656927517,0.1033046616244006
2023,MH,0,NaN,0.0
2024,SFD,272225,1266.4778082633088,0.2053879096804025
2024,SFA,0,NaN,0.0
2024,MF234,104758,652.1588375886126,0.10659708205985814
2024,MF5plus,82241,823.6715331711476,0.10333537706928266
2024,MH,0,NaN,0.0
2025,SFD,271983,1256.183752393142,0.2069097254109652
2025,SFA,0,NaN,0.0
2025,MF234,105208,642.0709596477676,0.11313694419519273
2025,MF5plus,82761,805.717365383154,0.11299716686324339
2025,MH,0,NaN,0.0
2026,SFD,271708,1249.6521649814374,0.21365673589893486
2026,SFA,0,NaN,0.0
2026,MF234,105640,649.3589188440634,0.11409778724051403
2026,MF5plus,82946,818.7500635398653,0.11001558705187225
2026,MH,0,NaN,0.0
2027,SFD,271418,1242.3433131571364,0.2200413679391111
2027,SFA,0,NaN,0.0
2027,MF234,106334,637.7115022931818,0.11414237031427489
2027,MF5plus,83573,805.7477778045134,0.11043329395028091
2027,MH,0,NaN,0.0
2028,SFD,271152,1236.6171504410052,0.22510666204894295
2028,SFA,0,NaN,0.0
2028,MF234,106430,632.170618326695,0.12229390411345384
2028,MF5plus,83992,796.8400439517724,0.11524056812606942
2028,MH,0,NaN,0.0
2029,SFD,270880,1230.5523802453574,0.23132781613264886
2029,SFA,0,NaN,0.0
2029,MF234,106585,626.0228349598003,0.12376209715305835
2029,MF5plus,84394,789.6355460761381,0.11814220401943042
2029,MH,0,NaN,0.0
2030,SFD,270601,1224.5843836672032,0.23802421736562315
2030,SFA,0,NaN,0.0
2030,MF234,106710,624.4928870084368,0.12693155697330769
2030,MF5plus,84835,781.8177721357132,0.12038770528710571
2030,MH,0,NaN,0.0
2031,SFD,270349,1218.0948107705387,0.24492148957320925
2031,SFA,0,NaN,0.0
2031,MF234,107238,617.6270169595108,0.1278324430700028
2031,MF5plus,85003,779.872495923429,0.12438262509577415
2031,MH,0,NaN,0.0
2032,SFD,270102,1214.2199205606273,0.250413354589808
2032,SFA,0,NaN,0.0
2032,MF234,107332,615.3174602466765,0.134560510266883
2032,MF5plus,85457,774.1003641913572,0.12692493206122138
2032,MH,0,NaN,0.0
2033,SFD,269819,1210.6832402592952,0.25788776091994875
2033,SFA,0,NaN,0.0
2033,MF234,107520,613.0323016197002,0.1360451682629598
2033,MF5plus,85632,770.3975185201906,0.13176217278865393
