year,hhs,autos,avs,events
2011,105014,108026,0,0
2012,105267,109900,0,0
2013,105411,111626,0,0
2014,105729,113366,0,0
2015,106103,115146,0,0
2016,106546,117077,0,0
2017,107110,119053,0,0
2018,107503,120826,0,0
2019,107958,122612,0,0
2020,108522,124462,0,0
2021,109019,126233,0,0
2022,109593,127975,0,0
2023,110097,129584,0,0
2024,110792,131347,0,0
2025,111576,133231,0,1869
2026,112250,134916,1876,1985
2027,112893,136609,3850,1865
2028,113657,138478,5686,2255
2029,114494,140175,7912,3165
2030,115053,141652,11029,4530
2031,115726,143148,15549,6389
2032,116376,144621,21913,8587
2033,117151,146241,30493,10954
2034,117855,147781,41430,12938
2035,118385,149100,54286,14949
2036,119050,150484,69103,16242
2037,119876,152065,85115,17389
2038,120710,153488,102032,17717
2039,121467,154913,119073,16684
2040,122124,156141,134689,14235
2041,122917,157496,147514,10155
2042,123714,158918,156306,5577
2043,124336,160021,160171,3823
2044,125074,161296,162463,3571
2045,125773,162523,164396,3627
2046,126468,163452,166242,3473
2047,127129,164513,167902,3564
2048,128010,165690,169943,3537
2049,128761,166737,171730,3574
