year,event,count
2011,RenovationEvent,108837
2011,LeaveParentsEvent,605
2011,EmploymentEvent,4391
2011,DemolitionEvent,106
2011,BirthDayEvent,218560
2011,BirthEvent,1701
2011,LicenseEvent,6717
2011,DeathEvent,1991
2011,MarriageEvent,1593
2011,DivorceEvent,491
2011,EducationEvent,4442
2011,MoveEvent,12489
2011,ConstructionEvent,1311
2012,RenovationEvent,110059
2012,LeaveParentsEvent,572
2012,EmploymentEvent,5046
2012,MigrationEvent,656
2012,DemolitionEvent,99
2012,BirthDayEvent,218292
2012,BirthEvent,1647
2012,LicenseEvent,3461
2012,DeathEvent,1957
2012,MarriageEvent,1600
2012,DivorceEvent,513
2012,EducationEvent,2542
2012,MoveEvent,12023
2012,ConstructionEvent,613
2013,RenovationEvent,110557
2013,LeaveParentsEvent,606
2013,EmploymentEvent,5118
2013,MigrationEvent,657
2013,DemolitionEvent,92
2013,BirthDayEvent,219289
2013,BirthEvent,1743
2013,LicenseEvent,2768
2013,DeathEvent,2168
2013,MarriageEvent,1601
2013,DivorceEvent,508
2013,EducationEvent,3023
2013,MoveEvent,11937
2013,ConstructionEvent,495
2014,RenovationEvent,110961
2014,LeaveParentsEvent,613
2014,EmploymentEvent,5204
2014,MigrationEvent,737
2014,DemolitionEvent,111
2014,BirthDayEvent,220271
2014,BirthEvent,1610
2014,LicenseEvent,2691
2014,DeathEvent,2193
2014,MarriageEvent,1545
2014,DivorceEvent,528
2014,EducationEvent,4146
2014,MoveEvent,12117
2014,ConstructionEvent,371
2015,RenovationEvent,111227
2015,LeaveParentsEvent,633
2015,EmploymentEvent,5143
2015,MigrationEvent,813
2015,DemolitionEvent,99
2015,BirthDayEvent,221080
2015,BirthEvent,1700
2015,LicenseEvent,2394
2015,DeathEvent,2419
2015,MarriageEvent,1538
2015,DivorceEvent,535
2015,EducationEvent,3779
2015,MoveEvent,11912
2015,ConstructionEvent,399
2016,RenovationEvent,111517
2016,LeaveParentsEvent,661
2016,EmploymentEvent,5002
2016,MigrationEvent,876
2016,DemolitionEvent,96
2016,BirthDayEvent,222084
2016,BirthEvent,1584
2016,LicenseEvent,2322
2016,DeathEvent,2436
2016,MarriageEvent,1491
2016,DivorceEvent,507
2016,EducationEvent,2951
2016,MoveEvent,12117
2016,ConstructionEvent,391
2017,RenovationEvent,111803
2017,LeaveParentsEvent,681
2017,EmploymentEvent,5194
2017,MigrationEvent,950
2017,DemolitionEvent,130
2017,BirthEvent,1600
2017,BirthDayEvent,223064
2017,LicenseEvent,2348
2017,DeathEvent,2438
2017,MarriageEvent,1482
2017,DivorceEvent,520
2017,EducationEvent,1993
2017,MoveEvent,12130
2017,ConstructionEvent,419
2018,RenovationEvent,112104
2018,LeaveParentsEvent,660
2018,EmploymentEvent,5185
2018,MigrationEvent,927
2018,DemolitionEvent,107
2018,BirthDayEvent,224155
2018,BirthEvent,1542
2018,LicenseEvent,2470
2018,DeathEvent,2546
2018,MarriageEvent,1517
2018,DivorceEvent,470
2018,EducationEvent,3541
2018,MoveEvent,12246
2018,ConstructionEvent,462
2019,RenovationEvent,112461
2019,LeaveParentsEvent,643
2019,EmploymentEvent,5243
2019,MigrationEvent,997
2019,DemolitionEvent,106
2019,BirthDayEvent,225080
2019,BirthEvent,1552
2019,LicenseEvent,2334
2019,DeathEvent,2591
2019,MarriageEvent,1554
2019,DivorceEvent,500
2019,EducationEvent,3644
2019,MoveEvent,12098
2019,ConstructionEvent,404
2020,RenovationEvent,112756
2020,LeaveParentsEvent,661
2020,EmploymentEvent,5352
2020,MigrationEvent,1043
2020,DemolitionEvent,109
2020,BirthDayEvent,226132
2020,BirthEvent,1452
2020,LicenseEvent,2077
2020,DeathEvent,2712
2020,MarriageEvent,1445
2020,DivorceEvent,525
2020,EducationEvent,4179
2020,MoveEvent,12483
2020,ConstructionEvent,443
2021,RenovationEvent,113086
2021,LeaveParentsEvent,640
2021,EmploymentEvent,5456
2021,MigrationEvent,1135
2021,DemolitionEvent,111
2021,BirthDayEvent,227010
2021,BirthEvent,1438
2021,LicenseEvent,2140
2021,DeathEvent,2867
2021,MarriageEvent,1467
