year,group,male,female
2011,<18,0.010416,0.010515
2011,18-29,0.477416,0.507466
2011,30-49,0.763078,0.630749
2011,50-64,0.527225,0.442623
2011,>=65,0.022725,0.024097
2012,<18,0.012297,0.008988
2012,18-29,0.481827,0.508166
2012,30-49,0.757371,0.628054
2012,50-64,0.532893,0.445028
2012,>=65,0.024292,0.024025
2013,<18,0.012022,0.010550
2013,18-29,0.477464,0.504750
2013,30-49,0.758989,0.628721
2013,50-64,0.543672,0.446153
2013,>=65,0.024513,0.024296
2014,<18,0.012068,0.008663
2014,18-29,0.484993,0.505621
2014,30-49,0.756430,0.628278
2014,50-64,0.542793,0.445822
2014,>=65,0.023508,0.023554
2015,<18,0.010083,0.013867
2015,18-29,0.474874,0.507651
2015,30-49,0.757404,0.626260
2015,50-64,0.543340,0.447306
2015,>=65,0.022762,0.024608
2016,<18,0.011706,0.009936
2016,18-29,0.481654,0.503136
2016,30-49,0.757237,0.624233
2016,50-64,0.549149,0.450127
2016,>=65,0.024764,0.024729
2017,<18,0.011653,0.014252
2017,18-29,0.479345,0.503980
2017,30-49,0.755367,0.622379
2017,50-64,0.544599,0.449835
2017,>=65,0.022394,0.023371
2018,<18,0.011503,0.007713
2018,18-29,0.466928,0.490165
2018,30-49,0.755504,0.621193
2018,50-64,0.534551,0.448461
2018,>=65,0.021012,0.023108
2019,<18,0.010402,0.012765
2019,18-29,0.473575,0.486614
2019,30-49,0.755136,0.622362
2019,50-64,0.532262,0.444757
2019,>=65,0.021869,0.023422
2020,<18,0.010955,0.009516
2020,18-29,0.478041,0.484482
2020,30-49,0.754650,0.621744
2020,50-64,0.528107,0.439735
2020,>=65,0.022017,0.022599
2021,<18,0.012283,0.014536
2021,18-29,0.470670,0.484570
2021,30-49,0.755383,0.623162
2021,50-64,0.520976,0.430418
2021,>=65,0.022866,0.022611
2022,<18,0.011963,0.010878
2022,18-29,0.475563,0.480000
2022,30-49,0.755558,0.624345
2022,50-64,0.514655,0.422936
2022,>=65,0.022672,0.022308
2023,<18,0.011001,0.012490
2023,18-29,0.472517,0.485165
2023,30-49,0.754489,0.624055
2023,50-64,0.512969,0.416471
2023,>=65,0.023649,0.022653
2024,<18,0.012505,0.014289
2024,18-29,0.474643,0.484708
2024,30-49,0.755719,0.623854
2024,50-64,0.507477,0.414681
2024,>=65,0.023987,0.023777
2025,<18,0.011559,0.012566
2025,18-29,0.473726,0.487293
2025,30-49,0.754411,0.624010
2025,50-64,0.495690,0.416643
2025,>=65,0.023082,0.023406
2026,<18,0.017023,0.014887
2026,18-29,0.475780,0.489923
2026,30-49,0.754475,0.624814
2026,50-64,0.486717,0.414567
2026,>=65,0.021903,0.024157
2027,<18,0.012327,0.012426
2027,18-29,0.459154,0.486932
2027,30-49,0.754015,0.623861
2027,50-64,0.483247,0.412786
2027,>=65,0.023318,0.024785
2028,<18,0.013043,0.013681
2028,18-29,0.468782,0.487656
2028,30-49,0.753518,0.626656
2028,50-64,0.484132,0.413064
2028,>=65,0.025230,0.024501
2029,<18,0.013912,0.011720
2029,18-29,0.467714,0.490122
2029,30-49,0.753823,0.627514
2029,50-64,0.484750,0.412711
2029,>=65,0.024923,0.024276
2030,<18,0.012414,0.012783
2030,18-29,0.470743,0.488508
2030,30-49,0.753212,0.628176
2030,50-64,0.487482,0.414632
2030,>=65,0.024940,0.024477
2031,<18,0.012642,0.012729
2031,18-29,0.470053,0.494412
2031,30-49,0.753282,0.625365
2031,50-64,0.489435,0.418878
2031,>=65,0.025350,0.024855
2032,<18,0.013350,0.012749
2032,18-29,0.466525,0.494384
2032,30-49,0.753537,0.626538
2032,50-64,0.491335,0.418822
2032,>=65,0.024138,0.024400
2033,<18,0.013216,0.012637
2033,18-29,0.473353,0.499495
2033,30-49,0.753124,0.624087
2033,50-64,0.489784,0.426971
2033,>=65,0.023344,0.023306
2034,<18,0.011653,0.013775
2034,18-29,0.476566,0.493798
2034,30-49,0.751199,0.623814
2034,50-64,0.494715,0.428360
2034,>=65,0.023079,0.024213
2035,<18,0.012685,0.013574
2035,18-29,0.476174,0.495509
2035,30-49,0.749028,0.621415
2035,50-64,0.506419,0.427041
2035,>=65,0.024870,0.023133
2036,<18,0.014242,0.012884
2036,18-29,0.476767,0.497338
2036,30-49,0.750720,0.621904
2036,50-64,0.499719,0.423329
2036,>=65,0.022016,0.022934
2037,<18,0.012800,0.012642
2037,18-29,0.475450,0.495338
2037,30-49,0.752854,0.622712
2037,50-64,0.501119,0.419816
2037,>=65,0.022545,0.022115
2038,<18,0.010870,0.012065
