year,size,count
2048,3,18979
2048,4,11522
2048,5,3651
2048,6,851
2048,7,129
2048,8,14
2048,9,0
2048,10,0
2049,1,53544
2049,2,39933
2049,3,19084
2049,4,11534
2049,5,3690
2049,6,832
2049,7,130
2049,8,13
2049,9,1
2049,10,0
