person,household,autos,avs,homeZone,jobZone,timeCar
1236856,2129200,2,2,3563,3771,8.330227941558839
1283222,2129200,2,2,3563,2425,30.771780380981447
1018231,2129201,1,1,3176,2598,16.95350373614502
3245083,2129201,1,1,3176,650,47.326373754638674
2624604,2129202,1,1,3156,2565,25.665898236083986
1616866,2129203,2,2,825,725,3.997320901443482
2719881,2129204,1,1,2513,2501,2.4376484427490235
4866068,2129204,1,1,2513,1248,64.97354472485353
271904,2129206,1,1,3601,2910,9.283626830932619
1109535,2129207,1,1,1892,1823,2.545413252624512
4028596,2129208,1,1,338,98,17.6129844954834
2558370,2129209,1,1,2787,1646,30.57713740942383
1684479,2129209,1,1,2787,4883,51.086511618652345
744065,2129210,2,2,1181,1182,5.879256783630372
3289782,2129213,1,1,275,284,5.412745073211671
4152492,2129214,2,2,739,669,6.100770002868653
496756,2129152,0,0,1057,964,9.643393547607422
16688,2129158,2,2,155,327,15.642667176513672
2418083,2129158,2,2,155,2425,67.21025124194337
701121,2129160,1,1,3148,3086,28.170656175292972
4121982,2129161,1,1,1036,1048,2.341638476119995
5165971,2129164,0,0,1715,1112,24.49583088989258
492550,2129165,1,1,1415,1351,14.330923209411623
3169013,2129168,0,0,1157,1156,8.690599427001954
533755,2129169,0,0,425,426,5.028718431243897
1269613,2129170,2,2,989,2391,20.024025146972658
3493960,2129171,1,1,4631,4495,62.71278580615235
3645243,2129171,1,1,4631,4630,4.119166549163818
3423843,2129172,2,2,255,378,7.347766072662354
2856673,2129176,1,1,1300,2599,23.334811169311525
2625940,2129176,1,1,1300,1310,5.49859934967041
1212012,2129180,2,2,1380,2439,28.435954856811527
5299556,2129180,2,2,1380,1434,10.328133194274903
3950656,2129181,0,0,3141,3141,1.0839891425247192
2456878,2129182,1,1,1102,1151,16.214353211242678
26726,2129249,1,1,3051,1875,12.895100426147462
1602863,2129249,1,1,3051,4863,34.26561042871094
3015680,2129250,2,2,1900,4687,33.98194793591309
4652395,2129250,2,2,1900,200,47.74291854370117
2811124,2129252,1,1,220,549,40.398057293945314
4705091,2129255,1,1,3736,3839,3.6648010777587894
3075009,2129257,1,1,754,857,10.380162636535646
263357,2129259,2,2,4647,4655,1.2692091147537232
217603,2129259,2,2,4647,4346,20.75440067541504
1169437,2129262,2,2,1770,1812,3.1250177399902346
3586345,2129262,2,2,1770,4946,64.14025576123048
4755333,2129265,2,2,2861,3592,10.105245639282227
3021909,2129268,1,1,2775,3233,7.761140530578614
2978421,2129269,0,0,1158,1197,7.460297314941407
76201,2129269,0,0,1158,4920,77.6998856723633
4053326,2129270,3,3,3340,4496,45.39279423095704
2377188,2129272,1,1,2199,2281,9.18939175128174
2076279,2129272,1,1,2199,4679,48.965644006835944
5074811,2129272,1,1,2199,2472,62.31665158154297
1102208,2129273,1,1,740,503,9.208018018981935
2014369,2129274,3,3,1771,1835,9.210345539489747
4727787,2129274,3,3,1771,3327,9.356408641357422
92447,2129274,3,3,1771,1109,44.03601660766602
66484,2129276,2,2,1358,1476,12.160603924987793
1262436,2129278,1,1,115,48,24.04668046826172
3997682,2129279,2,2,2217,2035,17.79412011682129
2437917,2129279,2,2,2217,4407,71.87065125146485
4591284,2129279,2,2,2217,1377,50.055436310058596
1426755,2129216,2,2,1885,1428,12.608731987304688
4033278,2129216,2,2,1885,2242,56.87021697143555
1608984,2129218,2,2,820,701,6.322830006317139
877647,2129222,1,1,3120,2862,10.506519126831055
3516464,2129222,1,1,3120,1898,23.256863646850586
3033541,2129224,1,1,2851,2674,6.202162614990235
2091101,2129229,2,2,3737,3759,3.8940353986816407
4316109,2129229,2,2,3737,3440,11.031110510375978
530100,2129232,2,2,2341,2308,4.777735831939697
3920728,2129235,2,2,121,2084,57.49860681762696
2556233,2129236,2,2,3828,4461,14.989979765930176
3380353,2129237,1,1,1151,1124,8.172700682189943
2012772,2129238,2,2,3391,1898,7.849234333435059
3385103,2129238,2,2,3391,2882,12.216637353576662
5148704,2129239,2,2,3024,3201,24.018135789306644
3728064,2129239,2,2,3024,2485,26.44364206213379
60639,2129242,1,1,170,182,3.5659025645904543
869134,2129243,3,3,3401,3405,2.222266581893921
4996439,2129243,3,3,3401,2432,41.87862075878907
309037,2129245,1,1,2943,2565,12.481315498596192
2172154,2129315,1,1,4156,4295,9.83388299371338
2792006,2129318,3,3,3430,2229,58.77855184960938
1850048,2129318,3,3,3430,3648,6.289395296295167
4836528,2129318,3,3,3430,1913,6.128761793975831
876160,2129320,1,1,326,346,5.62254134262085
2061802,2129321,1,1,3249,1935,7.549934829498292
3127004,2129321,1,1,3249,858,39.89776652661133
3487309,2129324,2,2,363,1162,14.535414400390627
1360318,2129325,1,1,3064,3142,7.104363174102784
142189,2129326,2,2,2865,3502,9.297744544921876
2325119,2129326,2,2,2865,2316,40.77013097875977
1626935,2129332,2,2,3692,1072,59.97921469702149
5298360,2129332,2,2,3692,4266,9.392222752807617
2308668,2129335,1,1,2867,2724,6.703100367919922
2113150,2129336,0,0,2769,3164,24.924143492431643
4339481,2129336,0,0,2769,1263,21.683048805297854
5111229,2129336,0,0,2769,2498,40.810785274902344
4048144,2129337,2,2,3168,399,67.58915286279297
3260948,2129338,2,2,844,998,7.0653538083190925
329033,2129338,2,2,844,2552,40.084757571044925
3752778,2129341,3,3,4396,3813,13.88494159301758
5034273,2129341,3,3,4396,42,70.36127861669922
2191434,2129343,3,3,1286,92,69.44120813232422
1088260,2129343,3,3,1286,1269,6.005222641113281
4908077,2129343,3,3,1286,3428,30.313148975463868
4397107,2129280,0,0,4466,1164,49.95508843725586
4704047,2129280,0,0,4466,4646,20.91104850231934
393322,2129285,1,1,1445,2747,14.047922961303712
4070796,2129286,2,2,1766,556,37.9154718359375
3982391,2129287,1,1,4205,1843,18.646539915527345
3242877,2129287,1,1,4205,4260,2.5044250366363525
1318038,2129288,1,1,3091,2208,59.64722970458985
3077085,2129288,1,1,3091,3142,5.520836427703858
2174418,2129292,0,0,4869,4774,21.929916535522462
5361278,2129292,0,0,4869,1990,49.67503319433594
5361279,2129292,0,0,4869,604,111.11827049804688
2847583,2129296,1,1,2649,1909,18.758690189086916
1537573,2129296,1,1,2649,423,55.3845712109375
4210787,2129299,1,1,326,6,37.25770721606445
761074,2129300,2,2,3547,2867,6.557613551177979
968574,2129300,2,2,3547,3027,5.911493146118165
2114779,2129301,1,1,2703,2788,7.716856095916748
1179389,2129304,3,3,3450,1429,19.046173559082032
3285144,2129304,3,3,3450,389,57.3652138503418
4708033,2129304,3,3,3450,3190,26.951796349365235
2059350,2129306,1,1,3969,1072,55.207451783203126
2214573,2129306,1,1,3969,4860,46.449374606933596
3465081,2129308,1,1,3583,3360,6.08251249661255
1820298,2129309,2,2,815,717,3.662152353317261
2936362,2129376,1,1,1174,3968,42.675645976318364
4686960,2129376,1,1,1174,4611,60.031461835693364
1107885,2129378,1,1,3628,3796,12.587457758117676
2648162,2129379,1,1,2652,2566,3.7587767528076172
3450399,2129380,2,2,4354,4346,8.766992556396485
2283151,2129380,2,2,4354,4743,36.604438942626956
2152851,2129383,1,1,1711,4306,11.669979285217286
2344756,2129384,1,1,1567,2289,22.764359086669923
235276,2129386,2,2,1169,28,33.3935125020752
261738,2129386,2,2,1169,4692,67.67252855371095
2970896,2129387,2,2,1434,4521,37.27174151367188
5065474,2129387,2,2,1434,1478,8.052063300415039
2023310,2129388,0,0,2805,1151,38.88850561914063
3533073,2129388,0,0,2805,4821,49.63494857104492
5145096,2129388,0,0,2805,1696,20.340415345092776
722832,2129391,3,3,160,1816,49.41223496972657
44747,2129391,3,3,160,339,8.088746162963869
995641,2129393,3,3,1528,2867,7.108695739593506
2114943,2129394,2,2,3254,4343,24.05224088220215
321942,2129394,2,2,3254,3338,4.609875113952637
3734260,2129397,1,1,2672,2972,9.003015139709474
2962660,2129397,1,1,2672,1577,23.345148697021486
4896188,2129397,1,1,2672,3341,18.262122640747073
4913918,2129398,2,2,149,322,12.997351616638184
1205471,2129400,2,2,3921,3188,12.217207026428223
1533226,2129400,2,2,3921,1259,29.41766190917969
567821,2129401,1,1,4286,3843,8.565216466918946
3056432,2129402,2,2,3913,1999,8.72770242327881
1324420,2129402,2,2,3913,4340,10.191959002746582
667777,2129403,2,2,1001,1999,51.29538216967774
4269019,2129403,2,2,1001,497,27.282849519775393
1070460,2129405,2,2,1369,1343,7.44462825970459
2060132,2129405,2,2,1369,249,40.88397602905274
1703881,2129406,2,2,48,67,13.057545691589356
2572995,2129407,2,2,177,253,11.38357524182129
5085434,2129407,2,2,177,3887,55.81481663208008
1428126,2129344,1,1,2119,375,49.10018038891602
5116746,2129344,1,1,2119,2136,2.572559181274414
2131453,2129345,2,2,3212,4404,30.016504045288087
727765,2129345,2,2,3212,3373,10.36110606237793
4732177,2129345,2,2,3212,839,46.67937188256836
2133437,2129348,2,2,1816,3636,11.697309340270998
3744997,2129348,2,2,1816,1950,8.479309292266846
3708773,2129349,2,2,512,719,7.051722350799561
3111095,2129349,2,2,512,2271,89.28699078222657
2175690,2129350,2,2,4016,4745,42.8435611184082
4095660,2129350,2,2,4016,3490,10.636271274230959
3293978,2129353,3,3,4781,4712,13.443186745727541
4935009,2129353,3,3,4781,4547,44.18911618652344
3428861,2129355,3,3,3191,4495,45.948090981201176
3271918,2129355,3,3,3191,12,98.07227390625
545016,2129356,1,1,3091,2969,6.693823855895997
4070826,2129358,1,1,4949,4948,9.457946723510743
1021587,2129359,1,1,3701,3678,1.7125685829620363
5022900,2129359,1,1,3701,1037,60.93146762841798
1036765,2129360,3,3,3474,3090,7.879335948638917
1308281,2129361,2,2,4602,3446,31.487999539062503
