year,Income,rent_250,rent_500,rent_750,rent_1000,rent_1250,rent_1500,rent_1750,rent_2000,rent_2250,rent_2500,averageRent
2011,10000,1863,5978,3696,1455,486,182,79,48,21,26,518
2011,20000,2608,11035,8939,4881,1595,610,238,107,52,83,589
2011,30000,1386,8270,6218,4408,1970,737,269,153,54,127,649
2011,40000,731,4975,3405,2676,1440,654,294,138,71,82,691
2011,50000,374,3357,1989,1483,1044,482,250,122,51,59,711
2011,60000,212,2021,1114,966,671,375,196,76,47,79,758
2011,70000,92,1068,610,462,305,209,115,54,30,26,755
2011,80000,45,643,292,249,178,124,65,52,20,31,791
2011,90000,50,394,179,158,107,71,50,33,13,22,792
2011,100000,68,709,438,341,253,157,117,75,45,56,849
2012,10000,1839,6200,4019,1812,581,238,99,59,38,31,537
2012,20000,2660,10556,8260,4875,1676,627,259,105,58,111,595
2012,30000,1485,8079,6014,4205,1966,821,323,148,65,126,653
2012,40000,861,5024,3545,2681,1414,723,310,150,56,102,689
2012,50000,445,3192,2043,1548,953,531,237,128,62,66,715
2012,60000,247,2053,1167,955,671,385,188,94,50,81,756
2012,70000,115,1056,647,478,315,215,118,56,29,32,758
2012,80000,73,584,296,246,185,114,78,39,26,28,789
2012,90000,46,366,182,153,103,66,54,30,10,26,797
2012,100000,75,673,443,335,235,156,96,84,46,61,854
2013,10000,1842,6426,4232,1971,695,288,123,57,26,39,547
2013,20000,2620,10103,7891,4609,1708,659,244,129,65,108,598
2013,30000,1571,7902,5874,4047,1905,813,347,150,71,120,652
2013,40000,927,5075,3588,2661,1483,681,317,140,61,120,687
2013,50000,502,3238,2116,1633,984,507,220,128,64,88,714
2013,60000,272,2039,1269,975,662,374,184,89,51,77,745
2013,70000,139,1068,698,495,363,199,118,60,33,29,753
2013,80000,87,600,328,252,191,133,82,41,26,31,793
2013,90000,56,387,192,150,107,62,53,21,10,29,776
2013,100000,81,663,459,357,217,156,94,78,37,69,846
2014,10000,1866,6692,4362,2149,828,314,123,55,31,53,555
2014,20000,2587,9847,7297,4354,1806,669,269,134,71,120,602
2014,30000,1619,7732,5742,3906,1923,829,347,166,60,129,653
2014,40000,1029,4997,3665,2646,1501,691,349,154,73,138,692
2014,50000,577,3260,2218,1682,1029,510,239,132,63,102,716
2014,60000,307,2032,1319,998,696,390,201,93,56,84,754
2014,70000,173,1073,750,507,375,201,118,68,28,41,755
2014,80000,114,571,360,264,203,128,73,42,23,25,776
2014,90000,56,354,202,172,115,73,54,28,14,26,806
2014,100000,96,662,460,344,226,139,85,73,36,66,830
2015,10000,1952,6808,4506,2277,881,356,151,70,25,64,562
2015,20000,2608,9630,7075,4077,1816,717,308,150,66,139,606
2015,30000,1675,7637,5499,3656,1925,883,348,177,79,134,655
2015,40000,1128,4897,3732,2671,1501,686,368,172,90,128,695
2015,50000,639,3279,2302,1699,1021,557,268,135,72,129,724
2015,60000,359,2028,1409,1044,648,384,203,99,58,95,750
2015,70000,182,1110,758,538,406,205,110,74,28,41,753
2015,80000,122,559,387,259,197,134,81,41,28,34,795
2015,90000,59,359,211,174,117,69,50,33,18,26,808
2015,100000,103,633,492,341,230,156,86,57,38,67,829
2016,10000,2022,6947,4615,2398,947,378,153,74,37,64,567
2016,20000,2635,9494,6866,3932,1800,758,315,155,72,146,608
2016,30000,1788,7316,5394,3567,1887,836,388,193,93,162,659
2016,40000,1179,4836,3791,2659,1520,715,358,193,83,145,698
2016,50000,704,3207,2357,1780,1046,598,296,142,93,149,738
2016,60000,402,2032,1455,1064,705,407,190,108,66,99,755
2016,70000,196,1079,798,563,369,215,126,62,44,57,768
2016,80000,128,559,394,286,206,136,66,46,26,35,789
2016,90000,61,380,242,165,105,69,52,31,15,28,791
2016,100000,110,607,484,352,236,147,97,55,43,65,841
2017,10000,2089,7068,4693,2418,1024,424,166,87,36,55,568
2017,20000,2655,9309,6711,3863,1838,800,390,177,82,158,616
2017,30000,1816,6984,5266,3432,1905,855,428,204,125,199,672
2017,40000,1214,4861,3748,2590,1527,839,369,185,106,184,709
2017,50000,789,3214,2468,1728,1095,631,285,152,92,175,741
2017,60000,433,1984,1475,1103,701,405,226,108,77,128,772
2017,70000,194,1092,856,611,395,220,120,74,46,62,775
2017,80000,135,581,417,325,199,136,80,41,27,41,791
2017,90000,64,354,254,177,110,73,48,31,17,23,795
2017,100000,107,565,500,336,253,140,95,61,36,65,851
2018,10000,2160,7210,4764,2508,1079,461,171,91,51,63,572
2018,20000,2724,8989,6630,3741,1816,812,380,183,93,162,618
2018,30000,1905,6735,5218,3398,1909,903,425,212,135,200,676
2018,40000,1248,4733,3750,2565,1544,837,407,218,116,206,719
2018,50000,852,3186,2469,1796,1111,660,315,162,108,190,748
2018,60000,462,1979,1533,1146,725,395,226,112,75,142,773
2018,70000,230,1106,864,579,399,233,152,70,43,76,784
2018,80000,135,593,417,342,201,136,79,42,25,47,795
2018,90000,64,337,289,191,103,79,40,28,18,21,785
2018,100000,116,560,492,348,248,148,84,69,32,71,852
2019,10000,2239,7299,4939,2542,1136,453,200,94,60,82,576
2019,20000,2696,8740,6503,3634,1784,869,381,195,98,184,624
2019,30000,1943,6564,5196,3373,1856,922,423,248,132,237,682
2019,40000,1271,4590,3770,2495,1576,832,431,232,123,226,727
2019,50000,872,3117,2554,1816,1184,667,312,190,115,218,763
2019,60000,514,2000,1572,1195,784,442,236,120,68,152,779
2019,70000,223,1105,864,606,403,226,157,83,51,98,804
2019,80000,139,594,432,354,221,171,78,52,34,47,815
2019,90000,63,316,274,180,104,79,49,24,16,31,814
2019,100000,127,561,488,362,244,145,95,56,34,76,853
2020,10000,2347,7271,5063,2624,1198,544,232,100,57,106,585
2020,20000,2751,8501,6307,3608,1847,807,412,197,120,226,630
2020,30000,1945,6414,5030,3381,1906,973,477,255,181,259,698
2020,40000,1342,4417,3736,2536,1572,862,464,212,127,271,738
2020,50000,842,3044,2597,1796,1229,652,385,194,115,264,783
2020,60000,562,1963,1678,1192,837,439,277,134,72,191,796
2020,70000,231,1104,894,637,432,251,135,97,54,97,809
2020,80000,126,580,455,368,201,159,85,49,40,56,828
2020,90000,83,314,255,183,134,70,49,24,20,29,811
2020,100000,129,545,493,350,251,142,101,55,26,77,857
2021,10000,2418,7300,5195,2641,1265,551,268,130,66,126,593
2021,20000,2782,8231,6283,3541,1825,862,424,230,124,254,637
2021,30000,1945,6153,5017,3345,1989,944,480,271,176,358,714
2021,40000,1387,4308,3655,2544,1573,932,475,273,139,305,755
2021,50000,923,2869,2523,1794,1228,723,406,210,128,289,800
2021,60000,585,1985,1725,1210,829,457,300,144,84,215,806
2021,70000,259,1088,946,690,475,277,141,91,60,131,834
2021,80000,129,556,471,363,205,156,92,56,34,70,848
2021,90000,90,307,255,175,137,84,50,23,14,45,836
2021,100000,142,501,482,358,240,139,95,64,35,81,874
2022,10000,2479,7247,5348,2743,1248,574,281,153,93,153,601
2022,20000,2909,7934,6163,3578,1878,898,454,260,128,286,646
2022,30000,2032,5864,4874,3331,1966,983,549,319,173,440,733
2022,40000,1445,4193,3572,2552,1620,960,473,288,148,360,768
2022,50000,948,2822,2543,1826,1273,721,419,244,125,333,814
2022,60000,626,1880,1694,1253,836,521,305,187,83,264,837
2022,70000,253,1039,917,681,493,317,146,97,61,144,860
2022,80000,153,548,480,391,220,141,88,59,42,95,871
2022,90000,81,327,270,189,132,90,55,37,18,43,859
2022,100000,154,488,460,367,252,135,91,66,32,89,884
2023,10000,2631,7149,5325,2818,1334,620,320,189,88,172,609
2023,20000,2871,7608,6017,3469,1956,998,464,282,144,349,665
2023,30000,2119,5617,4900,3310,2033,1070,592,315,246,493,750
2023,40000,1520,4019,3547,2553,1613,951,516,297,168,417,784
2023,50000,921,2737,2506,1807,1261,771,462,275,163,389,846
2023,60000,640,1859,1729,1209,847,518,340,178,120,312,860
2023,70000,285,995,941,730,504,313,151,107,68,171,878
2023,80000,147,536,488,363,274,177,108,64,35,111,918
2023,90000,86,308,268,197,144,97,72,31,27,48,897
2023,100000,153,478,441,353,245,141,96,64,37,99,905
2024,10000,2712,7160,5403,2884,1436,679,320,186,112,209,618
2024,20000,2931,7326,5873,3563,1991,1032,520,281,203,415,682
2024,30000,2115,5373,4861,3262,2012,1126,613,315,244,536,764
2024,40000,1598,3862,3469,2559,1657,990,575,323,190,498,811
2024,50000,955,2654,2434,1840,1267,826,505,282,175,459,873
2024,60000,658,1764,1746,1212,898,557,360,206,122,345,888
2024,70000,306,979,916,743,541,319,171,119,73,202,904
2024,80000,154,531,465,385,290,164,105,61,51,127,947
2024,90000,96,272,272,209,138,102,67,33,17,77,954
2024,100000,158,450,433,369,243,161,114,69,34,97,924
2025,10000,2752,7140,5494,3007,1541,755,379,194,115,265,634
2025,20000,2947,7026,5771,3559,2024,1117,570,290,187,444,692
2025,30000,2162,5206,4797,3251,2005,1212,647,387,239,607,783
2025,40000,1582,3711,3306,2580,1779,1016,628,324,196,614,841
2025,50000,943,2505,2428,1843,1306,862,528,300,182,535,905
2025,60000,673,1701,1694,1245,909,616,393,259,131,419,929
2025,70000,321,988,939,723,581,321,177,115,88,249,937
2025,80000,150,533,460,365,290,174,122,64,44,152,975
2025,90000,103,287,251,214,145,97,72,40,22,74,950
2025,100000,148,425,438,351,254,161,113,76,40,111,966
2026,10000,2819,6845,5547,3165,1674,810,424,218,123,277,647
2026,20000,3060,6698,5690,3517,2092,1192,619,338,237,518,714
2026,30000,2118,4922,4701,3293,2065,1254,749,408,254,651,807
2026,40000,1627,3469,3318,2554,1772,1142,657,399,205,686,872
2026,50000,1015,2332,2390,1852,1314,929,533,341,219,607,939
2026,60000,689,1640,1709,1256,931,656,422,267,159,457,961
2026,70000,338,917,937,745,568,381,230,128,86,288,983
2026,80000,167,501,448,345,303,202,124,91,45,178,1021
2026,90000,112,274,264,217,152,89,91,28,31,92,991
2026,100000,135,385,397,359,250,165,121,71,57,113,1005
2027,10000,2983,6556,5595,3271,1734,882,441,226,129,310,658
2027,20000,3063,6366,5608,3567,2204,1192,685,363,237,594,734
2027,30000,2236,4697,4481,3303,2139,1305,774,471,273,728,829
2027,40000,1668,3299,3371,2569,1741,1206,698,415,253,743,892
2027,50000,1066,2245,2320,1864,1328,909,600,366,261,691,978
2027,60000,696,1544,1674,1250,942,690,476,284,178,541,1007
2027,70000,371,866,920,777,567,396,250,149,98,321,1016
2027,80000,174,493,463,383,287,234,132,92,58,189,1052
2027,90000,115,261,222,216,136,113,73,51,26,106,1043
2027,100000,136,370,380,349,259,175,115,81,58,130,1039
2028,10000,3002,6329,5594,3334,1779,957,490,228,138,340,670
2028,20000,3164,6065,5571,3596,2249,1275,703,397,240,689,754
2028,30000,2262,4497,4417,3292,2176,1457,816,494,285,804,854
2028,40000,1773,3114,3309,2564,1759,1231,778,469,271,818,916
2028,50000,1063,2147,2317,1873,1389,983,638,383,275,781,1014
2028,60000,732,1462,1651,1271,933,709,478,307,192,617,1040
2028,70000,387,806,886,795,617,402,269,187,109,367,1063
2028,80000,163,463,463,408,297,239,140,96,61,220,1102
2028,90000,111,269,224,195,141,114,81,57,29,106,1068
2028,100000,139,350,367,332,264,179,122,79,46,150,1075
2029,10000,3141,6090,5569,3504,1867,1053,538,288,181,393,692
2029,20000,3182,5624,5396,3704,2301,1408,763,448,245,759,783
2029,30000,2332,4300,4292,3287,2237,1493,925,546,336,902,884
2029,40000,1762,3033,3166,2580,1814,1264,835,519,322,938,957
2029,50000,1128,2007,2173,1834,1373,1004,672,473,282,894,1059
2029,60000,772,1390,1582,1288,976,718,498,336,217,737,1091
2029,70000,389,761,879,764,587,440,299,190,130,411,1117
2029,80000,190,463,449,408,311,229,153,99,67,229,1122
2029,90000,102,244,227,182,155,119,87,57,43,120,1150
2029,100000,161,345,330,322,265,179,130,86,49,152,1082
2030,10000,3284,5857,5455,3507,1932,1124,583,349,180,451,705
2030,20000,3319,5459,5310,3706,2383,1415,811,500,314,826,805
2030,30000,2438,4026,4170,3165,2279,1519,956,610,325,1032,914
2030,40000,1857,2878,3075,2581,1818,1281,879,584,338,1064,993
2030,50000,1170,1891,2127,1804,1375,999,678,497,320,980,1094
2030,60000,796,1336,1474,1312,1009,755,553,345,228,813,1142
2030,70000,437,765,811,759,585,454,295,214,141,488,1182
2030,80000,201,415,452,417,324,215,199,93,83,253,1179
2030,90000,107,201,227,199,169,129,85,61,41,124,1145
2030,100000,162,347,326,313,233,173,127,91,49,186,1129
2031,10000,3444,5652,5400,3422,2053,1175,659,372,215,512,723
2031,20000,3384,5214,5189,3690,2396,1500,855,535,329,926,827
2031,30000,2608,3767,4073,3124,2291,1574,1009,647,417,1095,938
2031,40000,1863,2754,2979,2449,1871,1261,925,586,396,1223,1036
2031,50000,1226,1827,2152,1777,1416,1032,723,553,349,1122,1138
2031,60000,814,1265,1452,1222,1054,783,580,387,263,882,1185
2031,70000,477,707,787,756,589,455,291,242,161,504,1204
2031,80000,221,362,436,414,361,219,195,131,77,288,1222
2031,90000,111,202,227,203,173,110,89,58,46,131,1178
2031,100000,168,313,318,299,232,176,128,104,58,194,1155
2032,10000,3562,5469,5327,3502,2099,1245,711,383,238,545,738
2032,20000,3458,4903,5111,3623,2365,1457,933,569,375,1058,856
2032,30000,2685,3603,3972,3135,2336,1598,1026,705,431,1212,964
2032,40000,1964,2664,2882,2446,1889,1278,978,627,450,1391,1078
2032,50000,1297,1763,2036,1775,1426,1006,775,570,399,1262,1177
2032,60000,863,1198,1438,1191,1052,778,557,407,301,920,1213
2032,70000,465,673,805,726,625,482,316,245,162,573,1258
2032,80000,223,361,387,406,318,249,175,145,91,314,1286
2032,90000,128,188,237,200,181,131,75,68,50,169,1261
2032,100000,173,287,314,277,250,176,139,108,58,207,1192
2033,10000,3690,5299,5249,3538,2138,1264,752,451,246,630,755
2033,20000,3570,4674,5059,3629,2325,1586,946,623,383,1129,868
2033,30000,2787,3372,3857,3147,2377,1558,1118,729,467,1439,1010
2033,40000,1986,2490,2817,2425,1894,1357,945,672,487,1580,1127
2033,50000,1367,1619,1979,1862,1380,1071,804,590,391,1397,1227
2033,60000,863,1121,1418,1207,1051,796,566,444,318,1013,1266
2033,70000,486,657,792,699,609,474,321,236,210,634,1293
2033,80000,253,326,417,385,321,258,185,139,91,344,1313
2033,90000,132,175,200,208,176,124,80,76,45,178,1304
2033,100000,170,269,310,271,229,192,146,95,69,227,1237
2034,10000,3828,5133,5217,3541,2107,1285,795,436,291,755,772
2034,20000,3786,4423,4864,3600,2378,1584,986,671,429,1279,908
