year,zone,autoAccessibility,transitAccessibility,population,households,hhInc_<20000,hhInc_>20000,hhInc_>40000,hhInc_>60000,dd_SF,dd_MF,availLand,avePrice,jobs,shWhite,shBlack,shHispanic,shOther
1,20,19.60176495302355,2.9972814321048965E-15,0.0,0,0,0,0,0,2,0,29.399999976158142,150.0,0,0,0,0,0
1,21,14.639648107336765,1.5591851355687212,909.0,482,482,0,0,0,264,263,29.599999986588955,717.25995,194,0,0,0,0
1,22,22.787272714660872,1.0609334577354453E-10,4.0,3,3,0,0,0,2,2,29.19999997317791,144.5,95,0,0,0,0
1,23,28.61073026466898,1.0456270848009246E-11,937.0,491,491,0,0,0,266,264,28.89999996125698,714.0151,96,0,0,0,0
1,24,17.706300447338066,2.913754592504409E-15,0.0,0,0,0,0,0,0,0,30.0,-1.0,0,0,0,0,0
1,25,9.422830950696682,19.720753978463385,2.0,2,2,0,0,0,1,1,29.599999986588955,150.0,195,0,0,0,0
2,1,8.205482572661799,1.1306551186992158,465.0,237,237,0,0,0,130,134,29.799999997019768,706.1212,192,0,0,0,0
2,2,20.645103456116736,3.282951121546904E-11,6.0,3,3,0,0,0,3,1,28.999999962747097,109.25,94,0,0,0,0
2,3,29.73806236344382,6.1970680250646744E-12,6.0,4,4,0,0,0,1,4,29.299999982118607,143.2,96,0,0,0,0
2,4,31.367125006717163,1.0870928802383308E-10,3.0,3,3,0,0,0,0,4,29.599999994039536,130.0,96,0,0,0,0
2,5,26.422641988687293,2.439767548455544,478.0,247,247,0,0,0,133,135,28.799999959766865,714.3097,484,0,0,0,0
2,6,20.17652469480923,3.282922648823816E-11,5.0,3,3,0,0,0,2,2,29.19999997317791,117.0,94,0,0,0,0
2,7,31.14660540764664,17.666155213683314,13.0,7,7,0,0,0,4,4,28.39999994635582,143.0,100,0,0,0,0
2,8,29.25339142784384,1.3701432977714201E-9,903.0,483,483,0,0,0,265,265,29.099999971687794,725.39624,383,0,0,0,0
2,9,55.187300298909584,19.00966064462155,7.0,5,5,0,0,0,3,4,28.69999995827675,84.14286,101,0,0,0,0
2,10,37.51399160019789,1.0813877566506926E-10,5.0,4,4,0,0,0,1,4,29.299999982118607,155.2,99,0,0,0,0
2,11,22.273886657548164,6.320786464975737E-12,2.0,1,1,0,0,0,1,0,29.69999998807907,143.0,98,0,0,0,0
2,12,25.96426216716372,1.3847058509779345E-9,896.0,473,473,0,0,0,263,262,30.0,711.77716,382,0,0,0,0
2,13,61.03206586817369,100.0,5772.0,2955,2955,0,0,0,1611,1630,12.099999405443668,684.9488,1930,0,0,0,0
2,14,100.0,1.4882664023623873E-9,946.0,483,483,0,0,0,263,262,30.0,724.3238,387,0,0,0,0
2,15,39.70114316849373,6.331508475506668E-12,3.0,3,3,0,0,0,1,2,29.49999998509884,110.0,99,0,0,0,0
2,16,19.85133860479139,1.1032133833075408E-10,4.0,2,2,0,0,0,1,2,29.49999998509884,109.666664,97,0,0,0,0
2,17,39.86833886856052,17.84027668612743,8.0,5,5,0,0,0,3,3,28.799999959766865,124.166664,98,0,0,0,0
2,18,55.807532305191835,1.7896260654278498E-9,15.0,5,5,0,0,0,2,5,28.89999996870756,130.0,381,0,0,0,0
2,19,44.33368634017061,19.62810626142899,4.0,4,4,0,0,0,1,3,29.399999983608723,145.0,0,0,0,0,0
2,20,18.353717478998583,2.9972814321048965E-15,5.0,2,2,0,0,0,2,1,29.299999974668026,140.33333,0,0,0,0,0
2,21,12.606994936365142,1.5591851355687212,881.0,459,459,0,0,0,264,263,29.599999986588955,717.25995,194,0,0,0,0
2,22,19.37508372986241,1.0609334577354453E-10,4.0,3,3,0,0,0,2,2,29.19999997317791,144.5,95,0,0,0,0
2,23,26.745091928736194,1.0456270848009246E-11,886.0,454,454,0,0,0,266,264,28.89999996125698,714.0151,96,0,0,0,0
2,24,17.48678503525601,2.913754592504409E-15,0.0,0,0,0,0,0,0,1,29.899999998509884,131.0,0,0,0,0,0
2,25,8.698720637877003,19.720753978463385,2.0,1,1,0,0,0,1,1,29.599999986588955,145.0,195,0,0,0,0
3,1,7.250535498621053,1.1306551186992158,441.0,234,234,0,0,0,130,134,29.799999997019768,695.125,192,0,0,0,0
3,2,18.951130809312552,3.282951121546904E-11,5.0,4,4,0,0,0,3,1,28.999999962747097,107.75,94,0,0,0,0
3,3,26.353755990367016,6.1970680250646744E-12,6.0,4,4,0,0,0,1,4,29.299999982118607,137.6,96,0,0,0,0
3,4,31.131777410454937,1.0870928802383308E-10,5.0,4,4,0,0,0,0,4,29.599999994039536,124.25,96,0,0,0,0
3,5,23.422462730367428,2.439767548455544,472.0,239,239,0,0,0,133,135,28.799999959766865,702.41046,484,0,0,0,0
3,6,18.398977457050826,3.282922648823816E-11,6.0,4,4,0,0,0,2,3,29.099999971687794,96.8,94,0,0,0,0
3,7,37.806746125346244,17.666155213683314,16.0,8,8,0,0,0,4,4,28.39999994635582,139.5,100,0,0,0,0
3,8,21.156274758058352,1.3701432977714201E-9,923.0,481,481,0,0,0,266,265,28.799999959766865,712.484,383,0,0,0,0
3,9,38.991506309114406,19.00966064462155,9.0,7,7,0,0,0,3,4,28.69999995827675,82.28571,101,0,0,0,0
3,10,32.81902916165631,1.0813877566506926E-10,5.0,4,4,0,0,0,1,5,29.19999998062849,132.0,99,0,0,0,0
3,11,23.967682494005093,6.320786464975737E-12,2.0,1,1,0,0,0,1,0,29.69999998807907,143.0,98,0,0,0,0
3,12,29.05685306499445,1.3847058509779345E-9,922.0,472,472,0,0,0,263,262,30.0,700.82666,382,0,0,0,0
3,13,39.75228786113969,100.0,5850.0,2940,2940,0,0,0,1614,1633,10.899999365210533,652.96643,1930,0,0,0,0
3,14,99.2089873755273,1.4882664023623873E-9,964.0,484,484,0,0,0,264,263,29.599999986588955,717.1575,387,0,0,0,0
3,15,35.54427199731858,6.331508475506668E-12,2.0,2,2,0,0,0,1,2,29.49999998509884,108.666664,99,0,0,0,0
3,16,15.059911711563672,1.1032133833075408E-10,6.0,3,3,0,0,0,1,2,29.49999998509884,109.666664,97,0,0,0,0
3,17,47.09424734423835,17.84027668612743,8.0,5,5,0,0,0,3,3,28.799999959766865,124.166664,98,0,0,0,0
3,18,100.0,1.7896260654278498E-9,16.0,6,6,0,0,0,2,5,28.89999996870756,130.0,381,0,0,0,0
3,19,41.7892018154042,19.62810626142899,3.0,2,2,0,0,0,1,3,29.399999983608723,142.75,0,0,0,0,0
3,20,16.17506974751251,2.9972814321048965E-15,5.0,3,3,0,0,0,2,1,29.299999974668026,139.33333,0,0,0,0,0
3,21,12.203216651280188,1.5591851355687212,833.0,436,436,0,0,0,264,263,29.599999986588955,717.25995,194,0,0,0,0
3,22,20.25469469501006,1.0609334577354453E-10,4.0,3,3,0,0,0,2,2,29.19999997317791,144.5,95,0,0,0,0
3,23,31.247874372867233,1.0456270848009246E-11,830.0,433,433,0,0,0,266,264,28.89999996125698,714.0151,96,0,0,0,0
3,24,15.655719923176823,2.913754592504409E-15,2.0,1,1,0,0,0,0,1,29.899999998509884,128.0,0,0,0,0,0
3,25,7.6071350453262365,19.720753978463385,3.0,2,2,0,0,0,1,1,29.599999986588955,143.5,195,0,0,0,0
4,1,8.813467455376216,1.1306551186992158,444.0,235,235,0,0,0,130,134,29.799999997019768,666.4394,192,0,0,0,0
4,2,22.67536546521193,3.282951121546904E-11,6.0,4,4,0,0,0,3,1,28.999999962747097,103.25,94,0,0,0,0
4,3,32.53549135742403,6.1970680250646744E-12,3.0,3,3,0,0,0,1,5,29.19999998062849,121.5,96,0,0,0,0
4,4,39.414448795961974,1.0870928802383308E-10,5.0,4,4,0,0,0,0,4,29.599999994039536,124.25,96,0,0,0,0
4,5,27.638975836112355,2.439767548455544,446.0,230,230,0,0,0,134,135,28.499999947845936,700.32715,484,0,0,0,0
4,6,22.33039185615099,3.282922648823816E-11,6.0,3,3,0,0,0,2,3,29.099999971687794,93.0,94,0,0,0,0
4,7,46.07289170955258,17.666155213683314,16.0,8,8,0,0,0,4,5,28.299999944865704,123.44444,100,0,0,0,0
4,8,32.75482159410191,1.3701432977714201E-9,892.0,467,467,0,0,0,266,265,28.799999959766865,712.484,383,0,0,0,0
4,9,55.73720011933759,19.00966064462155,11.0,5,5,0,0,0,3,4,28.69999995827675,82.28571,101,0,0,0,0
4,10,39.23977093343608,1.0813877566506926E-10,8.0,5,5,0,0,0,1,5,29.19999998062849,132.0,99,0,0,0,0
4,11,26.707718526034625,6.320786464975737E-12,3.0,1,1,0,0,0,1,0,29.69999998807907,137.0,98,0,0,0,0
4,12,34.8813491383627,1.3847058509779345E-9,958.0,484,484,0,0,0,263,262,30.0,671.89526,382,0,0,0,0
4,13,100.0,100.0,5822.0,2900,2900,0,0,0,1617,1631,10.199999332427979,652.40765,1930,0,0,0,0
4,14,87.26113684828869,1.4882664023623873E-9,957.0,475,475,0,0,0,263,264,29.799999997019768,715.58826,387,0,0,0,0
4,15,37.438907263145744,6.331508475506668E-12,4.0,2,2,0,0,0,1,2,29.49999998509884,108.666664,99,0,0,0,0
4,16,16.900486796829508,1.1032133833075408E-10,4.0,2,2,0,0,0,1,2,29.49999998509884,109.666664,97,0,0,0,0
4,17,47.45006047297232,17.84027668612743,8.0,5,5,0,0,0,3,3,28.799999959766865,124.166664,98,0,0,0,0
4,18,63.63190758071419,1.7896260654278498E-9,17.0,7,7,0,0,0,2,5,28.89999996870756,130.0,381,0,0,0,0
4,19,43.916260948152384,19.62810626142899,8.0,3,3,0,0,0,1,3,29.399999983608723,142.75,0,0,0,0,0
4,20,18.474026904281143,2.9972814321048965E-15,2.0,2,2,0,0,0,2,1,29.299999974668026,139.33333,0,0,0,0,0
4,21,13.927328011373454,1.5591851355687212,832.0,433,433,0,0,0,264,262,29.69999998807907,717.6977,194,0,0,0,0
4,22,21.32384495901619,1.0609334577354453E-10,7.0,4,4,0,0,0,2,2,29.19999997317791,144.5,95,0,0,0,0
4,23,27.999504864261585,1.0456270848009246E-11,822.0,440,440,0,0,0,266,264,28.89999996125698,714.0151,96,0,0,0,0
4,24,17.87595658409698,2.913754592504409E-15,2.0,1,1,0,0,0,0,1,29.899999998509884,128.0,0,0,0,0,0
4,25,9.032768367594597,19.720753978463385,3.0,2,2,0,0,0,1,1,29.599999986588955,143.5,195,0,0,0,0
5,1,6.145068402210584,1.1306551186992158,445.0,236,236,0,0,0,130,134,29.799999997019768,656.9432,192,0,0,0,0
5,2,18.553335779283472,3.282951121546904E-11,6.0,4,4,0,0,0,3,1,28.999999962747097,102.0,94,0,0,0,0
5,3,25.139010617778336,6.1970680250646744E-12,5.0,5,5,0,0,0,1,5,29.19999998062849,121.5,96,0,0,0,0
5,4,33.589359558915085,1.0870928802383308E-10,5.0,4,4,0,0,0,0,4,29.599999994039536,124.25,96,0,0,0,0
5,5,23.475516595934362,2.439767548455544,439.0,228,228,0,0,0,134,135,28.499999947845936,700.32715,484,0,0,0,0
5,6,19.338907254220757,3.282922648823816E-11,10.0,5,5,0,0,0,3,3,28.799999959766865,79.5,94,0,0,0,0
5,7,32.82708256237001,17.666155213683314,17.0,9,9,0,0,0,4,5,28.299999944865704,120.55556,100,0,0,0,0
5,8,29.695846235234768,1.3701432977714201E-9,893.0,468,468,0,0,0,266,265,28.799999959766865,712.484,383,0,0,0,0
5,9,52.29951579095438,19.00966064462155,11.0,5,5,0,0,0,3,4,28.69999995827675,82.28571,101,0,0,0,0
5,10,34.20695462804806,1.0813877566506926E-10,8.0,5,5,0,0,0,1,5,29.19999998062849,132.0,99,0,0,0,0
5,11,25.732717267606024,6.320786464975737E-12,3.0,1,1,0,0,0,1,0,29.69999998807907,137.0,98,0,0,0,0
5,12,26.187489685422378,1.3847058509779345E-9,950.0,475,475,0,0,0,262,263,30.200000010430813,660.9429,382,0,0,0,0
5,13,82.28882336923779,100.0,5866.0,2907,2907,0,0,0,1617,1630,10.299999333918095,641.53033,1930,0,0,0,0
5,14,100.0,1.4882664023623873E-9,933.0,460,460,0,0,0,262,264,30.100000008940697,715.10834,387,0,0,0,0
5,15,38.20862447701294,6.331508475506668E-12,1.0,1,1,0,0,0,1,2,29.49999998509884,108.666664,99,0,0,0,0
5,16,21.51128548047265,1.1032133833075408E-10,9.0,3,3,0,0,0,1,2,29.49999998509884,109.666664,97,0,0,0,0
5,17,46.73078674143028,17.84027668612743,10.0,6,6,0,0,0,3,3,28.799999959766865,124.166664,98,0,0,0,0
5,18,93.0279544483637,1.7896260654278498E-9,16.0,7,7,0,0,0,2,5,28.89999996870756,130.0,381,0,0,0,0
5,19,39.24080603137423,19.62810626142899,11.0,4,4,0,0,0,1,3,29.399999983608723,142.75,0,0,0,0,0
5,20,16.85844744209836,2.9972814321048965E-15,2.0,2,2,0,0,0,2,1,29.299999974668026,139.33333,0,0,0,0,0
5,21,12.867998236031834,1.5591851355687212,813.0,423,423,0,0,0,264,262,29.69999998807907,717.6977,194,0,0,0,0
5,22,20.861263602206087,1.0609334577354453E-10,5.0,4,4,0,0,0,2,2,29.19999997317791,144.5,95,0,0,0,0
5,23,26.772782285102323,1.0456270848009246E-11,797.0,422,422,0,0,0,266,264,28.89999996125698,714.0151,96,0,0,0,0
5,24,15.69342460863954,2.913754592504409E-15,2.0,1,1,0,0,0,0,1,29.899999998509884,128.0,0,0,0,0,0
5,25,8.031675060966435,19.720753978463385,3.0,2,2,0,0,0,1,1,29.599999986588955,143.5,195,0,0,0,0
6,1,10.947327636659562,1.1306551186992158,475.0,241,241,0,0,0,130,134,29.799999997019768,648.45074,192,0,0,0,0
6,2,29.7069156093206,3.282951121546904E-11,5.0,4,4,0,0,0,3,1,28.999999962747097,100.75,94,0,0,0,0
6,3,41.10293004383237,6.1970680250646744E-12,6.0,5,5,0,0,0,1,5,29.19999998062849,121.5,96,0,0,0,0
6,4,45.77285230787553,1.0870928802383308E-10,3.0,3,3,0,0,0,0,4,29.599999994039536,124.25,96,0,0,0,0
6,5,35.52361500625373,2.439767548455544,450.0,238,238,0,0,0,134,135,28.499999947845936,700.32715,484,0,0,0,0
6,6,28.506825837923614,3.282922648823816E-11,12.0,6,6,0,0,0,3,3,28.799999959766865,78.333336,94,0,0,0,0
6,7,50.792745871911464,17.666155213683314,18.0,9,9,0,0,0,4,5,28.299999944865704,118.111115,100,0,0,0,0
6,8,43.75287812450068,1.3701432977714201E-9,876.0,455,455,0,0,0,266,265,28.799999959766865,712.484,383,0,0,0,0
6,9,61.83226113850683,19.00966064462155,14.0,6,6,0,0,0,3,4,28.69999995827675,82.28571,101,0,0,0,0
6,10,49.626501579939045,1.0813877566506926E-10,3.0,3,3,0,0,0,1,5,29.19999998062849,132.0,99,0,0,0,0
6,11,38.47892572557962,6.320786464975737E-12,3.0,1,1,0,0,0,1,0,29.69999998807907,137.0,98,0,0,0,0
6,12,38.81820002679849,1.3847058509779345E-9,953.0,471,470,1,0,0,262,264,30.100000008940697,649.9981,382,0,0,0,0
6,13,93.4217406688491,100.0,5832.0,2891,2891,0,0,0,1618,1631,9.89999932050705,640.79407,1930,0,0,0,0
6,14,100.0,1.4882664023623873E-9,960.0,470,470,0,0,0,261,264,30.400000020861626,704.64954,387,0,0,0,0
6,15,46.279618725129666,6.331508475506668E-12,3.0,3,3,0,0,0,1,2,29.49999998509884,106.0,99,0,0,0,0
6,16,30.83756216915103,1.1032133833075408E-10,8.0,2,2,0,0,0,1,2,29.49999998509884,109.666664,97,0,0,0,0
6,17,59.25337911640009,17.84027668612743,11.0,6,6,0,0,0,3,3,28.799999959766865,124.166664,98,0,0,0,0
6,18,63.93090813821238,1.7896260654278498E-9,16.0,7,7,0,0,0,2,5,28.89999996870756,130.0,381,0,0,0,0
6,19,55.219376704360535,19.62810626142899,11.0,4,4,0,0,0,1,3,29.399999983608723,138.25,0,0,0,0,0
6,20,23.684421644329518,2.9972814321048965E-15,2.0,2,2,0,0,0,2,1,29.299999974668026,137.66667,0,0,0,0,0
6,21,16.73473719996055,1.5591851355687212,772.0,404,404,0,0,0,264,262,29.69999998807907,717.6977,194,0,0,0,0
6,22,27.35789263858714,1.0609334577354453E-10,6.0,3,3,0,0,0,2,2,29.19999997317791,144.5,95,0,0,0,0
6,23,36.637018313254174,1.0456270848009246E-11,791.0,407,407,0,0,0,266,264,28.89999996125698,714.0151,96,0,0,0,0
6,24,22.757552384429513,2.913754592504409E-15,2.0,1,1,0,0,0,0,1,29.899999998509884,123.0,0,0,0,0,0
6,25,11.507855581593267,19.720753978463385,3.0,2,2,0,0,0,1,1,29.599999986588955,140.5,195,0,0,0,0
7,1,6.3076097799032755,1.1306551186992158,444.0,233,233,0,0,0,130,134,29.799999997019768,647.38257,192,0,0,0,0
7,2,16.814228908875677,3.282951121546904E-11,4.0,4,4,0,0,0,3,1,28.999999962747097,100.75,94,0,0,0,0
7,3,22.8114501480557,6.1970680250646744E-12,5.0,5,5,0,0,0,1,5,29.19999998062849,121.5,96,0,0,0,0
7,4,26.458750371895366,1.0870928802383308E-10,4.0,4,4,0,0,0,0,4,29.599999994039536,124.25,96,0,0,0,0
7,5,20.47529972604267,2.439767548455544,448.0,244,244,0,0,0,134,133,28.699999950826168,701.7903,484,0,0,0,0
7,6,16.337729955243788,3.282922648823816E-11,13.0,6,6,0,0,0,3,3,28.799999959766865,78.333336,94,0,0,0,0
