year,size
0,1.9102671819862207
1,1.9361956893602463
2,1.9609131788308545
3,1.971353711790393
4,1.9799542816950941
5,1.9906094968107726
6,2.0012453300124533
7,2.011444921316166
8,2.0226415094339623
9,2.0288147879666547
