year,variable,value
0,average,2205.4666442614684
0,median,2000.0
1,average,2288.300889497092
1,median,1760.0
2,average,2403.984780352819
2,median,1924.0
3,average,2517.2237554585154
3,median,1900.0
4,average,2655.9604360822927
4,median,1992.0
5,average,2696.9372785258684
5,median,2034.0
6,average,2758.876356520192
6,median,1988.0
7,average,2777.5273605150214
7,median,1984.0
8,average,2770.7473495058402
8,median,1912.0
9,average,2811.410293584632
9,median,1900.0
