year,type,count
8,SIZE_2_INC_HIGH,0
8,SIZE_3_INC_HIGH,0
8,SIZE_4_INC_HIGH,0
8,SIZE_1_INC_VERY_HIGH,0
8,SIZE_2_INC_VERY_HIGH,0
8,SIZE_3_INC_VERY_HIGH,0
8,SIZE_4_INC_VERY_HIGH,0
9,SIZE_1_INC_LOW,2231
9,SIZE_2_INC_LOW,1583
9,SIZE_3_INC_LOW,1148
9,SIZE_4_INC_LOW,555
9,SIZE_1_INC_MEDIUM,0
9,SIZE_2_INC_MEDIUM,0
9,SIZE_3_INC_MEDIUM,1
9,SIZE_4_INC_MEDIUM,0
9,SIZE_1_INC_HIGH,0
9,SIZE_2_INC_HIGH,0
9,SIZE_3_INC_HIGH,0
9,SIZE_4_INC_HIGH,0
9,SIZE_1_INC_VERY_HIGH,0
9,SIZE_2_INC_VERY_HIGH,0
9,SIZE_3_INC_VERY_HIGH,0
9,SIZE_4_INC_VERY_HIGH,0
