Zone,ID_county,Area,msa,centroidX,centroidY,distanceToTransit,BBSR_Type,Region2,Region_v0,Region
37,304493,0.102989146,1,372210.6189,3767409.19,654.0346068,10,37205,5,5
38,304494,0.102989161,1,372787.5881,3767401.402,204.7465121,10,37205,5,5
39,304582,0.102984217,1,371639.9281,3767879.059,1228.223368,10,37205,5,5
40,304591,0.102984202,1,372216.8697,3767871.236,675.9047677,10,37205,5,5
41,304592,0.102984217,1,372793.8106,3767863.448,245.4229658,10,37205,5,5
42,304594,0.10297925,1,372800.0338,3768325.493,658.5618882,10,37205,5,5
43,305144,0.10301897,1,378521.6219,3764553.229,1444.367503,10,37205,5,5
44,305153,0.103018955,1,379098.7544,3764545.832,1166.828231,10,37205,5,5
45,305234,0.103009043,1,377379.3415,3765492.209,2079.51063,10,37205,5,5
46,305241,0.103013992,1,377950.4535,3765022.701,1630.572651,10,37205,5,5
