year,type,count
2022,SIZE_2_INC_VERY_HIGH,995234
2022,SIZE_3_INC_VERY_HIGH,1030089
2022,SIZE_4_INC_VERY_HIGH,1378152
2023,SIZE_1_INC_LOW,411327
2023,SIZE_2_INC_LOW,98692
2023,SIZE_3_INC_LOW,22025
2023,SIZE_4_INC_LOW,8851
2023,SIZE_1_INC_MEDIUM,574840
2023,SIZE_2_INC_MEDIUM,277670
2023,SIZE_3_INC_MEDIUM,82868
2023,SIZE_4_INC_MEDIUM,45110
2023,SIZE_1_INC_HIGH,443377
2023,SIZE_2_INC_HIGH,380685
2023,SIZE_3_INC_HIGH,168436
2023,SIZE_4_INC_HIGH,105257
2023,SIZE_1_INC_VERY_HIGH,236004
2023,SIZE_2_INC_VERY_HIGH,1029958
2023,SIZE_3_INC_VERY_HIGH,1053133
2023,SIZE_4_INC_VERY_HIGH,1382680
2024,SIZE_1_INC_LOW,425422
2024,SIZE_2_INC_LOW,99577
2024,SIZE_3_INC_LOW,20741
2024,SIZE_4_INC_LOW,8137
2024,SIZE_1_INC_MEDIUM,598502
2024,SIZE_2_INC_MEDIUM,279777
2024,SIZE_3_INC_MEDIUM,77368
2024,SIZE_4_INC_MEDIUM,41440
2024,SIZE_1_INC_HIGH,475775
2024,SIZE_2_INC_HIGH,392054
2024,SIZE_3_INC_HIGH,163726
2024,SIZE_4_INC_HIGH,100753
2024,SIZE_1_INC_VERY_HIGH,236473
2024,SIZE_2_INC_VERY_HIGH,1066578
2024,SIZE_3_INC_VERY_HIGH,1077445
2024,SIZE_4_INC_VERY_HIGH,1385382
2025,SIZE_1_INC_LOW,442043
2025,SIZE_2_INC_LOW,100871
2025,SIZE_3_INC_LOW,19522
2025,SIZE_4_INC_LOW,7695
2025,SIZE_1_INC_MEDIUM,620180
2025,SIZE_2_INC_MEDIUM,282623
2025,SIZE_3_INC_MEDIUM,72884
2025,SIZE_4_INC_MEDIUM,38153
2025,SIZE_1_INC_HIGH,510222
2025,SIZE_2_INC_HIGH,404131
2025,SIZE_3_INC_HIGH,159268
2025,SIZE_4_INC_HIGH,96283
2025,SIZE_1_INC_VERY_HIGH,236850
2025,SIZE_2_INC_VERY_HIGH,1103510
2025,SIZE_3_INC_VERY_HIGH,1100100
2025,SIZE_4_INC_VERY_HIGH,1386001
2026,SIZE_1_INC_LOW,458905
2026,SIZE_2_INC_LOW,101985
