year,region,vacants
2015,532,897
2015,533,863
2015,534,774
2015,535,920
2015,536,1660
2015,537,1543
2015,538,1962
2015,539,2120
2015,540,2028
2015,541,2036
2015,542,2433
2015,543,2089
2015,544,2437
2015,545,3754
2015,546,3132
2015,547,3256
2015,548,3202
2015,549,2841
2015,550,3367
2015,551,2521
2015,552,3158
2015,553,3783
2015,554,4121
2015,555,7312
2015,556,8238
2015,557,6539
2015,558,9960
2015,559,9388
2015,560,10205
2015,561,8960
2015,562,14764
2015,563,13072
2015,564,12053
2015,565,12196
2015,566,11825
2015,567,8497
2015,568,11507
2015,569,9172
2015,570,12261
2015,571,15044
2015,572,13424
2015,573,15305
2015,574,10022
2015,575,5660
2015,576,9635
2015,577,9721
2015,578,12134
2015,579,10203
2015,580,14528
2015,581,7177
2015,582,4788
2015,583,5777
2015,584,10048
2015,585,4797
2015,586,5905
2015,587,6142
2015,588,7850
2015,589,6956
2015,590,8401
2015,591,2736
2015,592,2454
2015,593,2320
2015,594,2279
2015,595,1959
2015,596,1598
2015,597,1635
2015,598,1367
2015,599,5239
2015,600,1945
2015,601,1250
2015,602,1491
2015,603,6039
2015,604,1728
2015,605,734
2015,606,673
2015,607,344
2015,614,182
2015,615,267
2015,626,791
2015,627,1065
2015,628,1082
2015,629,877
2015,630,210
2015,631,233
2015,632,417
2015,633,249
2015,634,258
2015,636,166
2015,637,188
2015,641,70
2015,651,1080
2015,652,942
2015,653,873
2015,654,1643
2015,655,1099
2015,656,905
2015,657,675
2015,658,766
2015,659,1307
2015,660,810
2015,661,687
2015,662,1014
2015,663,778
2015,664,1554
2015,665,1448
2015,666,699
2015,667,628
2015,668,1604
2015,669,4178
2015,670,390
2015,671,1040
2015,672,1260
2015,673,400
2015,674,389
2015,675,380
2015,676,133
2015,688,587
2015,689,702
2015,690,1324
2015,691,2414
2015,692,1906
2015,693,2633
2015,694,2882
2015,695,2708
2015,696,582
2015,697,135
2015,698,327
2015,699,2596
2015,701,579
2015,702,432
2015,703,407
2015,704,82
2015,730,6544
2015,731,1083
2015,732,1122
2015,733,4506
2015,734,1512
2015,735,814
2015,736,1388
2015,737,5446
2015,738,3865
2015,739,2486
2015,740,2503
2015,741,867
2015,742,2504
2015,743,2466
2015,744,1660
2015,745,2011
2015,746,612
2015,748,1255
2015,749,117
2015,752,759
2015,753,978
2015,754,373
2015,759,393
2015,765,395
2015,766,355
2015,769,155
2015,770,122
2015,771,214
2015,774,53
2015,775,128
2015,790,474
2015,817,75
2015,820,492
2015,828,293
2015,832,661
2015,833,275
2015,834,130
2015,835,219
2015,836,331
2015,839,94
2015,840,97
2015,841,270
2015,857,1249
2015,858,2836
2015,859,987
2015,860,1648
2015,861,7697
2015,862,9268
2015,863,13143
2015,864,4697
2015,865,6224
2015,866,1803
2015,867,368
2015,868,960
2015,700,96
2015,240,137
2015,850,263
2015,431,308
2015,424,346
2015,796,45
2015,480,206
2015,798,50
2015,428,126
2015,484,314
2015,844,1748
2015,367,408
2015,414,53
2015,298,396
2015,779,121
2015,490,27
2015,804,37
2015,639,54
2015,728,42
2015,709,43
2015,777,268
2015,422,141
2015,649,72
2015,420,65
2015,845,145
2015,270,53
2015,788,43
2015,710,198
2015,331,150
2015,376,27
2015,429,95
2015,160,33
2015,165,167
2015,178,305
2015,369,512
2015,648,18
2015,393,160
2015,164,98
2015,706,198
2015,259,404
2015,328,196
2015,416,182
2015,486,574
2015,822,85
2015,483,65
2015,815,33
2015,711,89
2015,635,59
2015,800,87
2015,645,43
2015,444,48
2015,433,55
2015,461,221
