year,type,count,price,vacancy
2015,HIGH_RISE_CONDOMINIUM_30,326625,8145.226631464923,0.04728183797922748
2015,HIGH_RISE_CONDOMINIUM_50,326274,10809.509917497055,0.04721932675210007
2015,LOW_RISE_CONDOMINIUM_30,14124,5474.781639509448,0.04488831615120275
2015,LOW_RISE_CONDOMINIUM_50,14232,8016.206892657075,0.046851707247817134
2015,DETATCHED_HOUSE_120,2497084,13308.41828857494,0.04766487416033707
2015,DETATCHED_HOUSE_200,2501863,17481.126110727288,0.04753473168074094
2016,HIGH_RISE_CONDOMINIUM_30,331586,8341.813085055905,0.022383467278989665
2016,HIGH_RISE_CONDOMINIUM_50,331076,11020.236628443305,0.02284582896583853
2016,LOW_RISE_CONDOMINIUM_30,14660,6091.373929687988,0.011823845935995468
2016,LOW_RISE_CONDOMINIUM_50,14767,8881.41948584536,0.012788083192804946
2016,DETATCHED_HOUSE_120,2552137,14134.997566311074,0.05508545167082885
2016,DETATCHED_HOUSE_200,2556228,18561.403998644913,0.056090201581781254
2017,HIGH_RISE_CONDOMINIUM_30,336791,8580.933164045982,0.02053162678762071
2017,HIGH_RISE_CONDOMINIUM_50,336083,11335.57263860249,0.020626683903393783
2017,LOW_RISE_CONDOMINIUM_30,15250,6787.41550264274,0.009072305593451568
2017,LOW_RISE_CONDOMINIUM_50,15331,9860.52514811311,0.012324778221710572
2017,DETATCHED_HOUSE_120,2616720,15090.09264633737,0.05613491752206092
2017,DETATCHED_HOUSE_200,2619780,19808.79550794894,0.05765174311524637
2018,HIGH_RISE_CONDOMINIUM_30,342078,8793.191340880123,0.021087261833006226
2018,HIGH_RISE_CONDOMINIUM_50,341286,11644.499269561795,0.020658587313252975
2018,LOW_RISE_CONDOMINIUM_30,15861,7547.771961276292,0.009967213114754098
2018,LOW_RISE_CONDOMINIUM_50,15912,10938.650748246606,0.012654099536886048
2018,DETATCHED_HOUSE_120,2681242,16208.002939382974,0.05992081690054725
2018,DETATCHED_HOUSE_200,2683295,21326.138127140155,0.06206055470306667
2019,HIGH_RISE_CONDOMINIUM_30,347296,9040.33207079653,0.022529949309806535
2019,HIGH_RISE_CONDOMINIUM_50,346572,11984.308687190673,0.021908311504134362
2019,LOW_RISE_CONDOMINIUM_30,16473,8372.24336930135,0.011348590883298657
2019,LOW_RISE_CONDOMINIUM_50,16505,12117.280632506301,0.013637506284565108
2019,DETATCHED_HOUSE_120,2746453,17513.670044555103,0.06327403494350753
2019,DETATCHED_HOUSE_200,2748491,23062.33278844756,0.06557385602403015
2020,HIGH_RISE_CONDOMINIUM_30,352566,9296.577296214975,0.023374873306919744
2020,HIGH_RISE_CONDOMINIUM_50,351757,12327.473031509886,0.022964925037221702
2020,LOW_RISE_CONDOMINIUM_30,17066,9282.089000388696,0.014630000607053967
2020,LOW_RISE_CONDOMINIUM_50,17090,13422.507517817367,0.015995152983944258
2020,DETATCHED_HOUSE_120,2812762,19016.283755447475,0.06643623611982437
2020,DETATCHED_HOUSE_200,2813504,25089.886505341612,0.06923508208686148
2021,HIGH_RISE_CONDOMINIUM_30,357862,9565.485857557036,0.02447485009898856
2021,HIGH_RISE_CONDOMINIUM_50,356862,12703.720075974778,0.02446859621841214
2021,LOW_RISE_CONDOMINIUM_30,17685,10302.446957830269,0.014766201804757998
2021,LOW_RISE_CONDOMINIUM_50,17702,14931.0255487832,0.015915740198946753
2021,DETATCHED_HOUSE_120,2879809,20744.43983519015,0.06932012022346719
2021,DETATCHED_HOUSE_200,2879956,27417.965886744096,0.07198923477627897
2022,HIGH_RISE_CONDOMINIUM_30,363013,9851.5710221518,0.026037969943721324
2022,HIGH_RISE_CONDOMINIUM_50,362077,13115.530020251646,0.025469229001686928
2022,LOW_RISE_CONDOMINIUM_30,18320,11429.095193001183,0.016567712750918857
2022,LOW_RISE_CONDOMINIUM_50,18348,16616.857332862794,0.015196023048243136
2022,DETATCHED_HOUSE_120,2947680,22739.207175219122,0.07192421441838677
2022,DETATCHED_HOUSE_200,2947109,30141.669399690458,0.07453586096454251
2023,HIGH_RISE_CONDOMINIUM_30,368262,10152.977724362616,0.026709787252798108
2023,HIGH_RISE_CONDOMINIUM_50,367312,13515.484959082452,0.026591028980023586
2023,LOW_RISE_CONDOMINIUM_30,18978,12700.996646872201,0.016703056768558953
2023,LOW_RISE_CONDOMINIUM_50,19021,18453.00168180202,0.016514061478090255
2023,DETATCHED_HOUSE_120,3017399,25023.518844083417,0.07383705151169734
2023,DETATCHED_HOUSE_200,3016602,33254.98972278708,0.07654009403791988
2024,HIGH_RISE_CONDOMINIUM_30,373462,10479.657193368063,0.028099559552709756
2024,HIGH_RISE_CONDOMINIUM_50,372411,13958.582390347416,0.027872762120486127
2024,LOW_RISE_CONDOMINIUM_30,19656,14130.461720085861,0.016861629254926756
2024,LOW_RISE_CONDOMINIUM_50,19699,20536.383003642106,0.016981231270700805
2024,DETATCHED_HOUSE_120,3086967,27615.41120297654,0.07585738578159534
2024,DETATCHED_HOUSE_200,3085572,36788.612799961935,0.07841306211425969
2025,HIGH_RISE_CONDOMINIUM_30,378719,10810.039744771962,0.02910871788829921
2025,HIGH_RISE_CONDOMINIUM_50,377495,14405.380194078709,0.028884753672689584
2025,LOW_RISE_CONDOMINIUM_30,20366,15677.75419153254,0.017501017501017502
2025,LOW_RISE_CONDOMINIUM_50,20379,22774.13662805149,0.017868927356718616
2025,DETATCHED_HOUSE_120,3158104,30523.195776683322,0.07748576515395209
2025,DETATCHED_HOUSE_200,3157508,40759.49015784061,0.08008174821394543
