year,group,male,female
2044,30-49,0.90990263,0.77927625
2044,50-64,0.7250542,0.52424604
2044,>=65,0.20253271,0.121862605
2045,<18,0.006672583,0.006121259
2045,18-29,0.5570488,0.51828593
2045,30-49,0.9096071,0.7785707
2045,50-64,0.7217381,0.5231829
2045,>=65,0.20058687,0.12049179
2046,<18,0.0066191787,0.0059453836
2046,18-29,0.55640733,0.51828736
2046,30-49,0.9091837,0.77840495
2046,50-64,0.7184693,0.52223754
2046,>=65,0.19877985,0.11942099
2047,<18,0.006598495,0.005914181
2047,18-29,0.55643016,0.51803577
2047,30-49,0.9089639,0.77827334
2047,50-64,0.7152796,0.52152646
2047,>=65,0.1977556,0.11864913
2048,<18,0.0065132235,0.00588893
2048,18-29,0.5564221,0.51759917
2048,30-49,0.9085634,0.7777685
2048,50-64,0.7088758,0.516938
2048,>=65,0.1952727,0.11699389
2049,<18,0.0065556155,0.0059118755
2049,18-29,0.5555238,0.51678205
2049,30-49,0.9078198,0.7775912
2049,50-64,0.7090375,0.51745623
2049,>=65,0.19622998,0.117266305
