year,group,male,female
2044,18-29,0.472525,0.502753
2044,30-49,0.747138,0.615939
2044,50-64,0.496626,0.404851
2044,>=65,0.019918,0.021075
2045,<18,0.012478,0.011649
2045,18-29,0.478930,0.498479
2045,30-49,0.748289,0.617481
2045,50-64,0.496948,0.401656
2045,>=65,0.020229,0.021136
2046,<18,0.011904,0.011659
2046,18-29,0.478097,0.501253
2046,30-49,0.747866,0.618615
2046,50-64,0.495971,0.399045
2046,>=65,0.019769,0.020306
2047,<18,0.011505,0.010749
2047,18-29,0.474285,0.496056
2047,30-49,0.748758,0.617358
2047,50-64,0.492771,0.395132
2047,>=65,0.019358,0.021114
2048,<18,0.010786,0.010322
2048,18-29,0.474924,0.495277
2048,30-49,0.750863,0.618697
2048,50-64,0.484892,0.400871
2048,>=65,0.019907,0.021099
2049,<18,0.011780,0.011170
2049,18-29,0.475221,0.493097
2049,30-49,0.749554,0.617973
2049,50-64,0.483871,0.404724
2049,>=65,0.020598,0.020607
