person,household,autos,avs,homeZone,jobZone,timeCar
74,26,1,0,348,231,5.569217491924307
47959,26,1,0,348,1023,62.527424928405225
91,35,0,0,2540,1278,3.304285864457658
3535095,219,2,0,160,4938,95.05908201647496
532,243,2,0,634,291,6.173355688452761
1868546,243,2,0,634,873,41.73054878941251
751,356,1,0,204,1863,48.86845202527426
803,381,0,0,3787,3898,8.176202546312378
804,382,1,0,204,199,3.4631889217287
4533712,382,1,0,204,2531,111.5083506342853
812,386,1,0,161,144,5.635888414875626
813,386,1,0,161,253,10.395147644220076
814,386,1,0,161,3510,56.22533352687139
845,400,2,0,3452,2190,49.36460894286635
1363164,400,2,0,3452,3602,4.660634946605144
882,421,1,0,239,166,8.113754078188807
883,421,1,0,239,1431,44.19181764932382
938,447,1,0,324,321,5.72026886504985
939,447,1,0,324,212,3.817899861306008
940,447,1,0,324,904,54.729252048847414
966,459,0,0,319,2587,61.743599664088045
1030,489,2,0,165,72,18.733212211594523
1303,627,0,0,142,164,5.778633750511896
1306,627,0,0,142,512,113.16958051402496
4533068,627,0,0,142,3677,57.33996138843704
1479,714,1,0,170,197,5.073654945689365
573944,730,1,0,3888,3883,6.77158076879047
4475866,885,1,0,177,4547,79.47457038204509
1879,904,2,0,306,181,6.898052177640784
1880,904,2,0,306,350,6.803937338062436
2170,1044,1,0,402,1161,15.49497492477949
2259,1089,2,0,177,201,3.664362194741261
2261,1089,2,0,177,1499,47.87868878733346
2263,1089,2,0,177,31,29.103590701176653
3071,1465,2,0,115,4467,60.672411190424945
3072,1465,2,0,115,113,103.90409774746283
3073,1465,2,0,115,1037,76.62072223942947
3159,1500,0,0,1159,1408,32.333171697000274
5151712,1500,0,0,1159,17,45.17883084958321
3247,1542,1,0,60,57,4.455057623231308
3442,1628,1,0,371,404,81.70962071130865
3587,1696,1,0,297,1110,105.48278602198492
3588,1696,1,0,297,103,120.05452270290189
3590,1696,1,0,297,196,112.07056870568049
3607,1705,1,0,448,92,9.121533797177873
3641,1720,2,0,340,355,7.8325273191167675
3796,1796,1,0,142,165,4.748531609860583
3808,1801,1,0,2383,2405,19.607272407636508
3921,1851,1,0,4096,2072,4.94575760752261
3922,1851,1,0,4096,3079,54.29936233892786
4264,2011,1,0,12,284,20.47972036200099
4529694,2011,1,0,12,1088,136.8371656376586
940949,2016,2,0,1611,2599,38.89789626688677
4510,2133,2,0,350,354,5.12116647328027
4517,2136,1,0,2093,348,48.2270115614956
4519,2136,1,0,2093,2322,25.08840350682537
4528,2140,2,0,239,126,18.589688809639664
706628,2140,2,0,239,1077,85.90824041916761
4537,2146,1,0,201,184,4.69988381941439
4538,2146,1,0,201,133,7.952210595517984
4634,2197,1,0,204,419,38.16459228735536
4507016,2197,1,0,204,4666,80.66073655832783
