year,type,count
2011,SIZE_1_INC_LOW,29976
2011,SIZE_2_INC_LOW,9688
2011,SIZE_3_INC_LOW,2378
2011,SIZE_4_INC_LOW,1869
2011,SIZE_1_INC_MEDIUM,10131
2011,SIZE_2_INC_MEDIUM,15397
2011,SIZE_3_INC_MEDIUM,6518
2011,SIZE_4_INC_MEDIUM,6025
2011,SIZE_1_INC_HIGH,1324
2011,SIZE_2_INC_HIGH,5198
2011,SIZE_3_INC_HIGH,3885
2011,SIZE_4_INC_HIGH,4580
2011,SIZE_1_INC_VERY_HIGH,481
2011,SIZE_2_INC_VERY_HIGH,2502
2011,SIZE_3_INC_VERY_HIGH,1705
2011,SIZE_4_INC_VERY_HIGH,3327
2012,SIZE_1_INC_LOW,30087
2012,SIZE_2_INC_LOW,9931
2012,SIZE_3_INC_LOW,2341
2012,SIZE_4_INC_LOW,1708
2012,SIZE_1_INC_MEDIUM,9985
2012,SIZE_2_INC_MEDIUM,15371
2012,SIZE_3_INC_MEDIUM,6632
2012,SIZE_4_INC_MEDIUM,6126
2012,SIZE_1_INC_HIGH,1286
2012,SIZE_2_INC_HIGH,5101
2012,SIZE_3_INC_HIGH,4036
2012,SIZE_4_INC_HIGH,4655
2012,SIZE_1_INC_VERY_HIGH,477
2012,SIZE_2_INC_VERY_HIGH,2388
2012,SIZE_3_INC_VERY_HIGH,1807
2012,SIZE_4_INC_VERY_HIGH,3337
2013,SIZE_1_INC_LOW,29974
2013,SIZE_2_INC_LOW,9977
2013,SIZE_3_INC_LOW,2321
2013,SIZE_4_INC_LOW,1605
2013,SIZE_1_INC_MEDIUM,9988
2013,SIZE_2_INC_MEDIUM,15371
2013,SIZE_3_INC_MEDIUM,6504
2013,SIZE_4_INC_MEDIUM,6007
2013,SIZE_1_INC_HIGH,1280
2013,SIZE_2_INC_HIGH,5151
2013,SIZE_3_INC_HIGH,4258
2013,SIZE_4_INC_HIGH,4811
2013,SIZE_1_INC_VERY_HIGH,483
2013,SIZE_2_INC_VERY_HIGH,2354
2013,SIZE_3_INC_VERY_HIGH,1933
2013,SIZE_4_INC_VERY_HIGH,3499
2014,SIZE_1_INC_LOW,29869
2014,SIZE_2_INC_LOW,9909
2014,SIZE_3_INC_LOW,2282
2014,SIZE_4_INC_LOW,1584
2014,SIZE_1_INC_MEDIUM,10049
2014,SIZE_2_INC_MEDIUM,15381
2014,SIZE_3_INC_MEDIUM,6450
2014,SIZE_4_INC_MEDIUM,5824
2014,SIZE_1_INC_HIGH,1290
2014,SIZE_2_INC_HIGH,5293
2014,SIZE_3_INC_HIGH,4384
2014,SIZE_4_INC_HIGH,4964
2014,SIZE_1_INC_VERY_HIGH,483
2014,SIZE_2_INC_VERY_HIGH,2324
2014,SIZE_3_INC_VERY_HIGH,2012
2014,SIZE_4_INC_VERY_HIGH,3669
2015,SIZE_1_INC_LOW,29894
