year,size,count
2048,3,19185
2048,4,11450
2048,5,3606
2048,6,841
2048,7,149
2048,8,12
2048,9,0
2048,10,0
2049,1,52759
2049,2,40253
2049,3,19301
2049,4,11452
2049,5,3625
2049,6,853
2049,7,145
2049,8,12
2049,9,0
2049,10,0
