year,event,count
2025,LicenseEvent,2205
2025,LeaveParentsEvent,683
2025,EmploymentEvent,5768
2025,DeathEvent,3234
2025,BirthEvent,1303
2025,DivorceEvent,454
2025,ConstructionEvent,606
2025,MigrationEvent,1407
2026,DemolitionEvent,109
2026,EducationEvent,4600
2026,RenovationEvent,115568
2026,MarriageEvent,1464
2026,MoveEvent,12898
2026,BirthDayEvent,231962
2026,LicenseEvent,2146
2026,LeaveParentsEvent,735
2026,EmploymentEvent,5763
2026,DeathEvent,3296
2026,BirthEvent,1290
2026,DivorceEvent,430
2026,ConstructionEvent,736
2026,MigrationEvent,1465
2027,DemolitionEvent,101
2027,EducationEvent,4258
2027,RenovationEvent,116208
2027,MarriageEvent,1413
2027,MoveEvent,13159
2027,BirthDayEvent,233021
2027,LeaveParentsEvent,688
2027,LicenseEvent,2414
2027,EmploymentEvent,5717
2027,DeathEvent,3307
2027,BirthEvent,1271
2027,DivorceEvent,497
2027,ConstructionEvent,702
2027,MigrationEvent,1497
2028,DemolitionEvent,96
2028,EducationEvent,4253
2028,RenovationEvent,116818
2028,MarriageEvent,1472
2028,MoveEvent,13301
2028,BirthDayEvent,234146
2028,LicenseEvent,2561
2028,LeaveParentsEvent,704
2028,EmploymentEvent,5473
2028,DeathEvent,3356
2028,BirthEvent,1274
2028,DivorceEvent,490
2028,ConstructionEvent,782
2028,MigrationEvent,1533
2029,DemolitionEvent,88
2029,EducationEvent,4309
2029,RenovationEvent,117505
2029,MarriageEvent,1428
2029,MoveEvent,13341
2029,BirthDayEvent,235236
2029,LicenseEvent,2163
2029,LeaveParentsEvent,719
2029,EmploymentEvent,5507
2029,DeathEvent,3426
2029,BirthEvent,1325
2029,DivorceEvent,471
2029,ConstructionEvent,796
2029,MigrationEvent,1604
2030,DemolitionEvent,97
2030,EducationEvent,3775
2030,RenovationEvent,118199
2030,MarriageEvent,1488
2030,MoveEvent,13269
2030,BirthDayEvent,236285
2030,LeaveParentsEvent,710
2030,LicenseEvent,2063
2030,EmploymentEvent,5535
2030,DeathEvent,3612
2030,BirthEvent,1269
2030,DivorceEvent,454
2030,ConstructionEvent,829
2030,MigrationEvent,1595
2031,DemolitionEvent,115
2031,EducationEvent,4396
2031,RenovationEvent,118926
2031,MarriageEvent,1457
2031,MoveEvent,13432
2031,BirthDayEvent,237177
2031,LicenseEvent,2087
2031,LeaveParentsEvent,711
2031,EmploymentEvent,5639
2031,DeathEvent,3730
2031,BirthEvent,1281
2031,DivorceEvent,436
2031,ConstructionEvent,790
2031,MigrationEvent,1699
2032,DemolitionEvent,97
2032,EducationEvent,4525
2032,RenovationEvent,119615
2032,MarriageEvent,1463
2032,MoveEvent,13325
2032,BirthDayEvent,238243
2032,LicenseEvent,2059
2032,LeaveParentsEvent,664
2032,EmploymentEvent,5498
2032,DeathEvent,3839
2032,BirthEvent,1210
2032,DivorceEvent,446
2032,ConstructionEvent,783
2032,MigrationEvent,1747
2033,DemolitionEvent,103
2033,EducationEvent,4416
2033,RenovationEvent,120294
2033,MarriageEvent,1422
2033,MoveEvent,13530
2033,BirthDayEvent,239303
2033,LicenseEvent,1988
2033,LeaveParentsEvent,765
2033,EmploymentEvent,5522
2033,DeathEvent,3799
2033,BirthEvent,1221
2033,DivorceEvent,448
2033,ConstructionEvent,771
2033,MigrationEvent,1862
2034,DemolitionEvent,85
2034,EducationEvent,4461
2034,RenovationEvent,120964
2034,MarriageEvent,1412
2034,MoveEvent,13661
2034,BirthDayEvent,240689
2034,LeaveParentsEvent,724
2034,LicenseEvent,2048
2034,EmploymentEvent,5718
2034,DeathEvent,3784
2034,BirthEvent,1273
2034,DivorceEvent,469
2034,ConstructionEvent,834
2034,MigrationEvent,1842
2035,DemolitionEvent,98
2035,EducationEvent,4345
2035,RenovationEvent,121714
2035,MarriageEvent,1518
2035,MoveEvent,13940
2035,BirthDayEvent,241822
2035,LicenseEvent,2026
2035,LeaveParentsEvent,709
2035,EmploymentEvent,5603
2035,DeathEvent,3972
2035,BirthEvent,1277
2035,DivorceEvent,420
2035,ConstructionEvent,902
2035,MigrationEvent,1839
2036,DemolitionEvent,96
2036,EducationEvent,4321
2036,RenovationEvent,122518
2036,MarriageEvent,1460
2036,MoveEvent,13721
2036,BirthDayEvent,242824
2036,LeaveParentsEvent,719
2036,LicenseEvent,2117
2036,EmploymentEvent,5548
2036,DeathEvent,4039
2036,BirthEvent,1334
2036,DivorceEvent,450
2036,ConstructionEvent,814
2036,MigrationEvent,1864
2037,DemolitionEvent,99
2037,EducationEvent,4956
2037,RenovationEvent,123232
2037,MarriageEvent,1515
2037,MoveEvent,14041
2037,BirthDayEvent,244116
2037,LicenseEvent,1923
2037,LeaveParentsEvent,667
2037,EmploymentEvent,5639
2037,DeathEvent,4014
2037,BirthEvent,1279
2037,DivorceEvent,460
2037,ConstructionEvent,840
2037,MigrationEvent,1924
2038,DemolitionEvent,106
2038,EducationEvent,5019
2038,RenovationEvent,123973
2038,MarriageEvent,1533
2038,MoveEvent,14173
2038,BirthDayEvent,245227
2038,LicenseEvent,2035
2038,LeaveParentsEvent,699
2038,EmploymentEvent,5419
2038,DeathEvent,4148
2038,BirthEvent,1297
2038,DivorceEvent,457
2038,ConstructionEvent,823
2038,MigrationEvent,1976
2039,DemolitionEvent,108
2039,EducationEvent,5055
2039,RenovationEvent,124682
2039,MarriageEvent,1493
2039,MoveEvent,14233
2039,BirthDayEvent,246374
2039,LeaveParentsEvent,669
2039,LicenseEvent,1946
2039,EmploymentEvent,5678
2039,DeathEvent,4140
2039,BirthEvent,1339
2039,DivorceEvent,427
2039,ConstructionEvent,879
2039,MigrationEvent,1985
2040,DemolitionEvent,94
2040,EducationEvent,5019
2040,RenovationEvent,125463
2040,MarriageEvent,1467
2040,MoveEvent,14522
2040,BirthDayEvent,247583
2040,LicenseEvent,1918
2040,LeaveParentsEvent,633
2040,EmploymentEvent,5541
2040,DeathEvent,4319
2040,BirthEvent,1347
2040,DivorceEvent,432
2040,ConstructionEvent,823
2040,MigrationEvent,1991
2041,DemolitionEvent,102
2041,EducationEvent,5024
2041,RenovationEvent,126187
2041,MarriageEvent,1485
2041,MoveEvent,14404
2041,BirthDayEvent,248644
2041,LeaveParentsEvent,697
2041,LicenseEvent,1877
