year,variable,value
2011,average,29045.285853082376
2011,median,23088.0
2012,average,28875.532583501157
2012,median,23143.5
2013,average,28992.057052958793
2013,median,23388.0
2014,average,29075.922234723497
2014,median,23601.0
2015,average,29170.1447511001
2015,median,23772.0
2016,average,29228.957174894203
2016,median,23860.0
2017,average,29309.09515218367
2017,median,24002.0
2018,average,29374.13682476453
2018,median,24141.5
2019,average,29349.40985139577
2019,median,24154.0
2020,average,29418.67760751177
2020,median,24313.0
2021,average,29446.64436409687
2021,median,24326.0
2022,average,29416.399171774665
2022,median,24356.0
2023,average,29438.853790515554
2023,median,24460.0
2024,average,29492.229828784722
2024,median,24532.0
2025,average,29498.04064800122
2025,median,24543.0
2026,average,29495.69133601362
2026,median,24584.0
2027,average,29525.37615580827
2027,median,24660.0
2028,average,29549.102898984387
2028,median,24734.0
2029,average,29540.0810572148
2029,median,24819.5
2030,average,29587.72491518051
2030,median,24883.0
2031,average,29581.61246626531
2031,median,24915.5
2032,average,29614.396523371244
2032,median,25004.0
2033,average,29662.526310389054
2033,median,25055.5
2034,average,29627.09924182607
2034,median,25118.0
2035,average,29638.069943241324
2035,median,25190.5
2036,average,29635.570965439045
2036,median,25217.0
2037,average,29648.40260748358
2037,median,25295.0
2038,average,29615.058264503932
2038,median,25303.0
2039,average,29624.444335462602
2039,median,25354.0
2040,average,29642.180272192552
2040,median,25472.0
2041,average,29607.890587295376
2041,median,25531.0
2042,average,29631.216592138946
2042,median,25618.0
2043,average,29592.473409869082
2043,median,25638.0
2044,average,29553.489757183586
2044,median,25660.5
2045,average,29579.612729010674
2045,median,25701.0
2046,average,29603.47683090164
2046,median,25783.0
2047,average,29587.907196506963
2047,median,25834.0
2048,average,29571.98750088105
2048,median,25873.0
2049,average,29561.85406542056
2049,median,25905.0
