year,QualityLevel,Dwellings
2011,1,46005
2011,2,228020
2011,3,568630
2011,4,1353473
2016,1,80686
2016,2,256815
2016,3,530109
2016,4,1328518
2021,1,102495
2021,2,274943
2021,3,517508
2021,4,1301182
2026,1,119178
2026,2,285693
2026,3,514047
2026,4,1277210
2031,1,132596
2031,2,293525
2031,3,514280
2031,4,1255727
2036,1,143756
2036,2,298954
2036,3,515850
2036,4,1237568
2041,1,153560
2041,2,303416
2041,3,517138
2041,4,1222014
2046,1,161786
2046,2,306889
2046,3,518717
2046,4,1208736
2051,1,168651
2051,2,309627
2051,3,520324
2051,4,1197526
2056,1,174621
2056,2,311817
2056,3,521976
2056,4,1187714
2061,1,179995
2061,2,313679
2061,3,523623
2061,4,1178831
2066,1,184609
2066,2,315466
2066,3,524688
2066,4,1171365
2071,1,188888
2071,2,317363
2071,3,525475
2071,4,1164402
2076,1,192479
2076,2,318920
2076,3,527405
2076,4,1157324
2081,1,195802
2081,2,319858
2081,3,528253
2081,4,1152215
2086,1,198817
2086,2,320791
2086,3,529444
2086,4,1147076
2091,1,201739
2091,2,321391
2091,3,530303
2091,4,1142695
2096,1,204048
2096,2,322465
2096,3,531008
2096,4,1138607
2101,1,206341
2101,2,323504
2101,3,532263
2101,4,1134020
2106,1,208211
2106,2,324254
2106,3,533493
2106,4,1130170
2111,1,209871
2111,2,325253
2111,3,534663
2111,4,1126341
2116,1,211520
2116,2,325539
2116,3,535513
2116,4,1123556
2121,1,212847
2121,2,326757
2121,3,535758
2121,4,1120766
2126,1,214195
2126,2,327473
2126,3,537016
2126,4,1117444
2131,1,215290
2131,2,328687
2131,3,537353
2131,4,1114798
2136,1,216304
2136,2,328893
2136,3,538167
2136,4,1112764
2141,1,217599
2141,2,329770
2141,3,538153
2141,4,1110606
2146,1,218578
2146,2,329744
2146,3,539062
2146,4,1108744
2151,1,219564
2151,2,329664
2151,3,540875
2151,4,1106025
2156,1,220177
2156,2,330398
2156,3,541252
2156,4,1104301
2161,1,221145
2161,2,330557
2161,3,541053
2161,4,1103373
2166,1,221907
2166,2,331236
2166,3,541976
2166,4,1101009
2171,1,222490
2171,2,331890
2171,3,542906
2171,4,1098842
2176,1,223203
2176,2,331898
2176,3,544420
2176,4,1096607
2181,1,223759
2181,2,332607
2181,3,545648
2181,4,1094114
2186,1,224118
2186,2,333611
2186,3,546880
2186,4,1091519
2191,1,224920
2191,2,334260
2191,3,547041
2191,4,1089907
2196,1,225338
2196,2,334437
2196,3,548163
2196,4,1088190
2201,1,226258
2201,2,334284
2201,3,548652
2201,4,1086934
2206,1,226631
2206,2,334842
2206,3,549141
2206,4,1085514
