year,group,male,female
2043,18-29,0.571640,0.590398
2043,30-49,0.855734,0.719365
2043,50-64,0.795954,0.600639
2043,>=65,0.313948,0.226285
2044,<18,0.097340,0.117758
2044,18-29,0.567615,0.589346
2044,30-49,0.855646,0.719227
2044,50-64,0.797285,0.604849
2044,>=65,0.313211,0.225532
2045,<18,0.096439,0.115223
2045,18-29,0.560873,0.582138
2045,30-49,0.854847,0.717670
2045,50-64,0.797085,0.610471
2045,>=65,0.309915,0.225344
2046,<18,0.098067,0.116923
2046,18-29,0.559105,0.579386
2046,30-49,0.852853,0.716652
2046,50-64,0.796970,0.612744
2046,>=65,0.305816,0.224757
2047,<18,0.097003,0.115713
2047,18-29,0.557394,0.578722
2047,30-49,0.852312,0.715802
2047,50-64,0.796701,0.615280
2047,>=65,0.304075,0.223124
2048,<18,0.097138,0.114272
2048,18-29,0.561310,0.581229
2048,30-49,0.852429,0.716984
2048,50-64,0.802380,0.615233
2048,>=65,0.304551,0.220963
2049,<18,0.097374,0.115990
2049,18-29,0.562655,0.585252
2049,30-49,0.852425,0.715708
2049,50-64,0.804207,0.615791
2049,>=65,0.302565,0.219914
