Zone,Area,Region,SUB_SECT
279,1.753,279,22
280,3.846,280,22
281,4.616,281,22
282,5.097,282,23
283,6.149,283,23
284,17.534,284,23
285,6.232,285,23
286,9.36,286,23
287,5.818,287,23
288,10.033,288,23
289,5.385,289,23
290,4.014,290,23
291,2.676,291,23
292,6.348,292,23
293,0.458,293,23
294,0.854,294,23
295,15.301,295,24
296,4.953,296,24
297,4.812,297,24
298,6.129,298,24
299,19.208,299,24
300,16.833,300,24
301,16.734,301,24
302,7.028,302,24
303,66.917,303,24
304,7.169,304,23
305,8.569,305,23
306,7.063,306,23
307,6.543,307,23
308,4.725,308,23
309,3.657,309,23
310,2.932,310,23
311,3.056,311,23
312,3.158,312,23
313,3.161,313,23
314,1.98,314,23
315,1.296,315,23
316,1.302,316,23
317,1.887,317,23
318,2.787,318,22
319,4.466,319,22
320,3.041,320,22
321,1.87,321,22
322,7.38,322,24
323,3.927,323,24
324,14.273,324,24
325,5.404,325,24
326,9.745,326,23
327,3.123,327,23
328,3.208,328,23
329,3.8,329,23
330,7.747,330,23
331,7.911,331,23
332,10.542,332,23
333,4.441,333,28
334,1.118,334,28
335,2.842,335,28
336,2.612,336,28
337,5.507,337,28
338,3.517,338,28
339,3.524,339,28
340,2.007,340,28
341,6.938,341,28
342,5.687,342,28
343,6.907,343,28
344,2.981,344,28
345,4.128,345,28
346,3.444,346,28
347,3.315,347,28
348,40.867,348,29
349,42.646,349,29
350,21.134,350,29
351,70.009,351,29
352,7.529,352,29
353,3.588,353,25
354,2.432,354,25
355,1.456,355,25
356,8.477,356,25
357,1.377,357,25
358,8.502,358,25
359,2.852,359,25
360,4.738,360,25
361,13.918,361,25
362,19.569,362,26
363,3.462,363,25
364,4.281,364,26
365,5.654,365,26
366,45.861,366,26
367,29.688,367,26
368,21.385,368,26
369,55.171,369,26
370,28.991,370,26
371,22.336,371,26
372,22.659,372,26
373,22.813,373,27
374,32.484,374,27
375,20.155,375,27
376,15.527,376,27
377,21.795,377,27
378,26.726,378,27
379,32.094,379,27
380,47.625,380,27
381,3.229,381,30
382,4.323,382,30
383,2.238,383,30
384,1.745,384,30
385,2.434,385,30
386,3.683,386,31
387,7.293,387,31
388,11.427,388,31
389,3.467,389,31
390,4.018,390,31
391,3.209,391,30
392,1.18,392,30
393,1.239,393,30
394,2.521,394,30
395,1.056,395,30
396,29.699,396,30
397,15.148,397,32
398,5.726,398,31
399,3.113,399,31
400,2.531,400,31
401,2.695,401,31
402,10.873,402,31
403,5.246,403,31
404,6.308,404,32
405,15.486,405,32
406,7.08,406,32
407,7.284,407,32
408,3.543,408,32
409,22.838,409,32
410,48.754,410,32
411,3.637,411,32
412,5.819,412,32
413,5.618,413,32
414,20.341,414,32
415,12.397,415,32
416,3.116,416,32
417,9.158,417,32
418,24.829,418,32
419,22.22,419,32
420,52.842,420,32
421,26.331,421,32
422,120.168,422,32
423,19.608,423,35
424,9.238,424,35
425,14.919,425,35
426,13.58,426,35
427,10.227,427,35
428,6.179,428,35
429,10.931,429,34
430,10.033,430,34
431,8.696,431,34
432,11.231,432,34
433,12.744,433,34
434,13.424,434,34
435,20.167,435,35
436,55.222,436,35
437,42.887,437,34
438,74.854,438,36
439,118.985,439,36
440,7.565,440,33
441,15.157,441,33
