year,age,men,women
2012,55,5343,6196
2012,56,5920,7424
2012,57,5841,6900
2012,58,5993,6862
2012,59,6227,7005
2012,60,6061,7811
2012,61,6099,7044
2012,62,6945,6630
2012,63,6166,7884
2012,64,7306,8764
2012,65,7539,7850
2012,66,8680,8760
2012,67,9398,9661
2012,68,8000,9598
2012,69,4520,4977
2012,70,4542,5150
2012,71,5117,6421
2012,72,5379,5774
2012,73,4989,6220
2012,74,5634,6027
2012,75,3796,5748
2012,76,3568,5123
2012,77,4109,4815
2012,78,4259,6114
2012,79,3948,6225
2012,80,3551,5379
2012,81,2811,4695
2012,82,3714,5356
2012,83,2994,4774
2012,84,2586,4351
2012,85,2433,4377
2012,86,1939,3799
2012,87,1950,3614
2012,88,1251,2776
2012,89,1180,2573
2012,90,970,2393
2012,91,786,1844
2012,92,486,1736
2012,93,369,1269
2012,94,253,1064
2012,95,247,935
2012,96,120,441
2012,97,69,322
2012,98,47,449
2012,99,23,165
2012,100,60,379
2013,0,2600,2428
2013,1,2618,2432
2013,2,2660,2456
2013,3,2652,2515
2013,4,4292,4013
2013,5,3551,3857
2013,6,3117,2494
2013,7,1794,1791
2013,8,1906,1578
2013,9,1555,1853
2013,10,1928,1957
2013,11,2475,2384
2013,12,1936,2434
2013,13,2455,2557
2013,14,4328,4402
2013,15,4293,4385
2013,16,4535,5230
2013,17,4882,5147
2013,18,5495,5604
2013,19,5072,5325
2013,20,4832,4781
2013,21,5335,5209
2013,22,4236,4348
2013,23,2955,2882
2013,24,3289,4462
2013,25,3634,4072
2013,26,3590,3945
2013,27,4036,3907
2013,28,4853,4896
2013,29,4433,5235
2013,30,5586,4499
2013,31,4679,4407
2013,32,4514,5451
2013,33,4253,5758
2013,34,5138,6239
2013,35,5102,5110
2013,36,6023,5835
2013,37,6069,6818
2013,38,5948,7300
2013,39,5810,7364
2013,40,7629,7136
2013,41,7221,6539
2013,42,7155,7590
2013,43,6923,8417
2013,44,6155,6439
2013,45,5554,6214
2013,46,5762,6677
2013,47,5525,6884
2013,48,5533,6188
2013,49,5790,6373
2013,50,4191,4420
2013,51,5917,6900
2013,52,5429,6814
2013,53,4956,5735
2013,54,5509,5389
2013,55,5451,5934
2013,56,5336,6214
2013,57,5906,7419
2013,58,5814,6902
2013,59,5971,6866
2013,60,6179,7003
2013,61,6036,7819
2013,62,6081,7024
2013,63,6888,6630
2013,64,6106,7884
2013,65,7234,8750
2013,66,7464,7815
2013,67,8589,8754
2013,68,9271,9618
2013,69,7856,9524
2013,70,4424,4942
2013,71,4479,5121
2013,72,5029,6356
2013,73,5279,5699
2013,74,4885,6123
2013,75,5495,5937
2013,76,3685,5661
2013,77,3450,5037
2013,78,3928,4719
2013,79,4066,5964
2013,80,3717,6021
2013,81,3330,5171
2013,82,2623,4491
2013,83,3402,5059
2013,84,2738,4493
2013,85,2285,4047
2013,86,2185,4031
2013,87,1689,3457
2013,88,1682,3198
2013,89,1079,2448
2013,90,1018,2207
2013,91,782,2026
2013,92,625,1522
2013,93,374,1386
2013,94,286,984
2013,95,190,819
2013,96,178,681
2013,97,84,306
2013,98,46,226
2013,99,31,293
2013,100,53,337
2014,0,2421,2408
2014,1,2614,2433
2014,2,2638,2446
2014,3,2681,2463
2014,4,2667,2537
2014,5,4302,4041
2014,6,3561,3871
2014,7,3121,2504
2014,8,1804,1799
2014,9,1910,1585
2014,10,1564,1857
2014,11,1940,1969
2014,12,2482,2397
2014,13,1946,2449
2014,14,2479,2576
2014,15,4351,4422
2014,16,4313,4413
2014,17,4556,5246
2014,18,4912,5169
2014,19,5516,5631
2014,20,5094,5347
2014,21,4853,4803
2014,22,5349,5234
2014,23,4245,4362
2014,24,2969,2907
2014,25,3301,4483
2014,26,3655,4081
2014,27,3605,3959
2014,28,4065,3937
2014,29,4867,4919
2014,30,4455,5247
2014,31,5600,4523
2014,32,4704,4439
2014,33,4540,5487
2014,34,4288,5791
2014,35,5160,6263
2014,36,5133,5131
2014,37,6052,5860
2014,38,6090,6855
2014,39,5973,7324
2014,40,5837,7396
2014,41,7653,7162
2014,42,7235,6578
2014,43,7178,7621
2014,44,6942,8457
2014,45,6171,6462
2014,46,5565,6251
2014,47,5767,6700
2014,48,5535,6898
2014,49,5533,6201
2014,50,5800,6382
2014,51,4201,4453
2014,52,5911,6924
2014,53,5421,6842
2014,54,4959,5741
2014,55,5506,5412
2014,56,5455,5938
2014,57,5319,6224
2014,58,5887,7419
2014,59,5794,6904
2014,60,5942,6876
2014,61,6142,7006
2014,62,5996,7808
2014,63,6028,7015
2014,64,6829,6643
2014,65,6040,7855
2014,66,7171,8708
2014,67,7365,7790
2014,68,8477,8719
2014,69,9118,9569
2014,70,7702,9444
2014,71,4338,4903
2014,72,4380,5079
2014,73,4925,6304
2014,74,5165,5661
2014,75,4751,6034
2014,76,5307,5817
2014,77,3559,5540
2014,78,3314,4928
2014,79,3752,4610
2014,80,3854,5786
2014,81,3509,5768
2014,82,3103,4927
2014,83,2406,4271
2014,84,3107,4752
2014,85,2460,4214
2014,86,2066,3725
2014,87,1935,3667
2014,88,1429,3079
2014,89,1438,2803
2014,90,895,2109
2014,91,841,1886
2014,92,603,1694
2014,93,493,1228
2014,94,274,1105
2014,95,214,743
2014,96,132,602
2014,97,126,512
2014,98,53,201
2014,99,29,152
2014,100,51,407
2015,0,2495,2338
2015,1,2423,2414
2015,2,2630,2448
2015,3,2658,2464
2015,4,2696,2476
2015,5,2692,2564
2015,6,4322,4064
2015,7,3570,3881
2015,8,3127,2507
2015,9,1809,1804
2015,10,1918,1586
2015,11,1578,1865
2015,12,1949,1978
2015,13,2501,2408
2015,14,1955,2458
2015,15,2497,2593
2015,16,4375,4446
2015,17,4340,4436
2015,18,4584,5265
2015,19,4942,5196
2015,20,5542,5659
2015,21,5112,5378
2015,22,4880,4832
2015,23,5368,5262
2015,24,4257,4376
2015,25,2984,2933
2015,26,3322,4505
2015,27,3682,4109
2015,28,3626,3980
2015,29,4087,3964
2015,30,4881,4961
2015,31,4489,5270
2015,32,5619,4539
2015,33,4726,4471
2015,34,4563,5523
2015,35,4313,5816
2015,36,5185,6284
2015,37,5158,5152
2015,38,6078,5900
2015,39,6114,6891
2015,40,5999,7349
2015,41,5865,7434
2015,42,7667,7189
2015,43,7255,6612
2015,44,7202,7650
2015,45,6967,8481
2015,46,6186,6492
2015,47,5573,6276
2015,48,5777,6735
2015,49,5552,6922
2015,50,5552,6221
2015,51,5796,6393
2015,52,4215,4480
2015,53,5929,6941
2015,54,5431,6852
2015,55,4966,5765
2015,56,5500,5414
2015,57,5463,5946
2015,58,5304,6223
2015,59,5870,7411
2015,60,5763,6905
2015,61,5901,6876
2015,62,6085,7003
2015,63,5942,7780
2015,64,5991,6985
2015,65,6760,6635
2015,66,5970,7825
2015,67,7075,8678
2015,68,7276,7769
2015,69,8350,8685
2015,70,8963,9526
2015,71,7531,9358
2015,72,4254,4857
2015,73,4278,5036
2015,74,4768,6221
2015,75,5009,5602
2015,76,4604,5961
2015,77,5097,5706
2015,78,3433,5420
2015,79,3147,4781
2015,80,3553,4471
2015,81,3621,5580
2015,82,3263,5508
2015,83,2854,4668
2015,84,2205,4014
2015,85,2777,4413
2015,86,2165,3905
2015,87,1847,3388
2015,88,1662,3248
2015,89,1217,2712
2015,90,1193,2408
2015,91,720,1752
2015,92,679,1585
2015,93,451,1316
2015,94,369,945
2015,95,193,822
2015,96,150,563
2015,97,81,450
2015,98,92,366
2015,99,36,131
2015,100,46,355
2016,0,2447,2329
2016,1,2507,2345
2016,2,2435,2428
2016,3,2642,2458
2016,4,2673,2475
2016,5,2706,2493
2016,6,2708,2582
2016,7,4339,4086
2016,8,3579,3892
2016,9,3140,2516
2016,10,1824,1808
2016,11,1925,1593
2016,12,1584,1871
2016,13,1970,1982
2016,14,2509,2413
2016,15,1970,2469
2016,16,2524,2611
2016,17,4395,4472
2016,18,4359,4466
2016,19,4611,5291
2016,20,4962,5222
2016,21,5560,5685
2016,22,5131,5402
2016,23,4903,4864
2016,24,5381,5279
2016,25,4267,4389
2016,26,3001,2954
2016,27,3340,4531
2016,28,3697,4132
2016,29,3644,3997
2016,30,4109,3988
2016,31,4895,4978
2016,32,4515,5287
2016,33,5633,4560
2016,34,4744,4488
2016,35,4580,5561
2016,36,4339,5835
2016,37,5204,6298
2016,38,5181,5173
2016,39,6097,5933
2016,40,6136,6933
2016,41,6015,7376
2016,42,5888,7465
2016,43,7678,7207
2016,44,7280,6638
2016,45,7224,7675
2016,46,6978,8502
2016,47,6202,6521
2016,48,5576,6299
2016,49,5782,6748
2016,50,5555,6934
2016,51,5552,6229
2016,52,5794,6396
2016,53,4215,4506
2016,54,5916,6949
2016,55,5415,6838
2016,56,4974,5768
2016,57,5495,5416
2016,58,5451,5943
2016,59,5268,6231
2016,60,5829,7410
2016,61,5729,6900
