year,carOwnershipLevel,households
2010,0,59056
2010,1,120772
2010,2,124197
2010,3,73000
2011,0,56484
2011,1,123051
2011,2,130214
2011,3,67692
2012,0,54388
2012,1,125037
2012,2,135351
2012,3,63225
2013,0,52396
2013,1,127455
2013,2,139096
2013,3,59472
2014,0,50552
2014,1,130051
2014,2,142450
2014,3,56079
2015,0,48792
2015,1,132844
2015,2,145024
2015,3,53220
2016,0,46997
2016,1,135846
2016,2,146947
2016,3,50753
2017,0,45245
2017,1,138819
2017,2,148218
2017,3,48825
2018,0,43771
2018,1,141851
2018,2,149335
2018,3,47058
2019,0,42179
2019,1,144775
2019,2,150267
2019,3,45484
2020,0,40848
2020,1,147306
2020,2,151077
2020,3,44078
2021,0,39370
2021,1,149479
2021,2,151372
2021,3,42848
2022,0,38065
2022,1,151438
2022,2,151508
2022,3,41706
2023,0,36935
2023,1,152895
2023,2,151864
2023,3,40560
2024,0,35881
2024,1,153999
2024,2,151962
2024,3,39665
2025,0,34869
2025,1,154665
2025,2,151936
2025,3,38825
2026,0,33915
2026,1,154941
2026,2,151574
2026,3,38154
2027,0,33146
2027,1,155081
2027,2,151309
2027,3,37299
2028,0,32218
2028,1,155327
2028,2,150880
2028,3,36634
2029,0,31540
2029,1,155091
2029,2,150517
2029,3,35872
2030,0,30748
2030,1,155475
2030,2,149415
2030,3,35299
2031,0,30120
2031,1,155498
2031,2,148632
2031,3,34534
2032,0,29577
2032,1,155337
2032,2,147708
2032,3,33810
2033,0,29091
2033,1,155399
2033,2,146638
2033,3,33138
2034,0,28699
2034,1,155288
2034,2,145652
2034,3,32451
2035,0,28300
2035,1,155099
2035,2,144436
2035,3,31977
2036,0,27865
2036,1,154897
2036,2,143347
2036,3,31394
2037,0,27454
2037,1,154723
2037,2,142182
2037,3,30560
2038,0,27194
2038,1,154275
2038,2,141054
2038,3,30021
2039,0,26907
2039,1,154027
2039,2,139552
2039,3,29521
2040,0,26649
2040,1,153414
2040,2,138272
2040,3,28916
2041,0,26489
2041,1,153097
2041,2,136932
2041,3,28424
2042,0,26347
2042,1,152578
2042,2,135746
2042,3,27818
2043,0,26228
2043,1,151875
2043,2,134549
2043,3,27373
2044,0,26164
2044,1,151118
2044,2,133303
2044,3,26808
2045,0,25890
2045,1,150436
2045,2,132213
2045,3,26274
2046,0,25726
2046,1,149683
2046,2,130930
2046,3,25773
2047,0,25659
2047,1,148910
2047,2,129438
2047,3,25427
2048,0,25474
2048,1,148302
2048,2,128087
2048,3,24896
2049,0,25332
2049,1,147385
2049,2,126717
2049,3,24463
